problem,circuit_type,classic_mean_hv,s07_mean_hv,v2_mean_hv,delta_s07_minus_classic_hv,delta_s07_minus_v2_hv,classic_mean_auc,s07_mean_auc,delta_s07_minus_classic_auc,s07_hv_win_seeds,classic_hv_win_seeds,hv_tie_seeds,classic_covered_seeds,s07_covered_seeds,v2_covered_seeds,coverage_delta_s07_minus_classic,outcome
Prob020_JC_counter,sequential,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,5,0,0,0,0,mean_hv_tie
Prob022_ring_counter,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,5,0,0,0,0,mean_hv_tie
Prob026_asyn_fifo,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,5,0,0,0,0,mean_hv_tie
Prob028_LFSR,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,5,0,0,0,0,mean_hv_tie
Prob030_right_shifter,sequential,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,5,0,0,0,0,mean_hv_tie
Prob032_freq_divbyeven,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,5,0,0,0,0,mean_hv_tie
Prob033_freq_divbyfrac,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,5,0,0,0,0,mean_hv_tie
Prob034_freq_divbyodd,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,5,0,0,0,0,mean_hv_tie
Prob035_calendar,sequential,1.667475139462e-05,1.667475139462e-05,0.0,0.0,1.667475139462e-05,8.33737569732e-06,8.33737569732e-06,0.0,1,1,3,5,5,4,0,mean_hv_tie
Prob039_serial2parallel,sequential,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,5,0,0,0,0,mean_hv_tie
Prob042_width_8to16,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,5,0,0,0,0,mean_hv_tie
Prob044_ROM,combinational,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,5,5,5,5,0,mean_hv_tie
Prob046_clkgenerator,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,5,0,0,0,0,mean_hv_tie
Prob047_instr_reg,sequential,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,5,1,0,1,-1,mean_hv_tie
Prob021_counter_12,sequential,0.0001918382759506,0.000308154981052,0.0003836765519012,0.0001163167051014,-7.552157084919999e-05,0.0001726544483556,0.0001661474558672,-6.5069924883999855e-06,1,0,4,3,3,2,0,S07_mean_hv_win
Prob049_signal_generator,sequential,0.01731964268118,0.01814269230892,0.015118133262437999,0.0008230496277399982,0.003024559046482,0.01415302069172,0.01411549183256,-3.75288591600003e-05,3,2,0,5,5,5,0,S07_mean_hv_win
Prob050_square_wave,sequential,0.002969593548058,0.005522761416534,0.0031600792884840002,0.002553167868476,0.00236268212805,0.0015276927732546,0.002388796473206,0.0008611036999513998,4,1,0,5,5,5,0,S07_mean_hv_win
Prob023_up_down_counter,sequential,0.0019572645270939997,0.004729589925114,0.003084648894702,0.0027723253980200006,0.0016449410304120002,0.001745879958168,0.0023071954636199998,0.0005613155054519999,2,1,2,1,2,2,1,S07_mean_hv_win
Prob027_LIFObuffer,sequential,0.01001559775676,0.013568390565672,0.009024512895002,0.0035527928089120007,0.00454387767067,0.008104443774494,0.009091427087262,0.000986983312768001,4,1,0,5,5,5,0,S07_mean_hv_win
Prob043_RAM,sequential,0.0870114418838,0.09356449879156,0.08602643511414,0.006553056907759994,0.007538063677419993,0.07229610198594,0.07795977882304,0.005663676837100007,4,1,0,5,5,5,0,S07_mean_hv_win
Prob011_multi_16bit,sequential,0.003294852612856,0.010387895024892,0.025242457796752,0.007093042412036,-0.014854562771860001,0.002218229031632,0.0013329444300392,-0.0008852846015928,3,1,1,3,3,5,0,S07_mean_hv_win
Prob008_comparator_4bit,combinational,0.3494709090908,0.361618181818,0.3555878787876,0.01214727272720001,0.006030303030399975,0.3355046363634,0.3446769696966,0.0091723333332,2,0,3,5,5,5,0,S07_mean_hv_win
Prob024_fsm,combinational,0.2865436346574,0.300494213325,0.2055176728184,0.013950578667599967,0.09497654050659998,0.1624610572412,0.2156302783858,0.053169221144600015,2,1,2,5,5,4,0,S07_mean_hv_win
Prob037_parallel2serial,sequential,0.0001648270787344,0.0182918812852448,0.0104822173166454,0.0181270542065104,0.0078096639685994,6.593083149372e-05,0.00551425067450128,0.0054483198430075605,1,3,1,4,3,5,-1,S07_mean_hv_win
Prob029_barrel_shifter,,0.030735632183899998,0.05123856960406,0.061470370370359996,0.020502937420160003,-0.010231800766299995,0.0099031673052,0.01673616858232,0.0068330012771200006,2,2,1,2,3,4,1,S07_mean_hv_win
Prob015_multi_pipe_8bit,sequential,0.0,0.022451152442012002,2.5276012952799998e-06,0.022451152442012002,0.022448624840716722,0.0,0.02242655821625,0.02242655821625,2,0,3,0,3,1,3,S07_mean_hv_win
Prob002_adder_16bit,combinational,0.17701024646902,0.205114234284,0.17701024646902,0.028103987814979997,0.028103987814979997,0.17701024646902,0.205114234284,0.028103987814979997,1,0,4,5,5,5,0,S07_mean_hv_win
Prob031_freq_div,combinational,0.05869687034278,0.09605961251858,0.08912309985104,0.037362742175800004,0.006936512667540001,0.04197770491804,0.0425692995529,0.0005915946348599987,3,2,0,5,5,5,0,S07_mean_hv_win
Prob038_pulse_detect,sequential,0.0210287013356,0.08542199488496,0.01682296106848,0.06439329354935999,0.06859903381648,0.012105711849926,0.07911338448427199,0.067007672634346,1,1,3,5,4,4,-1,S07_mean_hv_win
