sample_index,candidate_id,corpus,problem_id,netlist_path,parse_status,cell_count,net_count,directed_edge_count,driven_net_count,sink_net_count,multi_driver_net_count,max_fanout,mean_fanout,fanout_entropy,long_range_edge_share,max_level_delta,max_level,unresolved_cycle_nodes
10,4b3a3629-2df3-4566-89f5-8d1ab7e25499,aspdac2026_release,aspdac2026/deepseek_clean_results/RTLLM/Prob002_adder_16bit,exp/diversity_check/aspdac2026_submission_source/REvolution-aspdac2026-submission/exp/deepseek_clean_results/RTLLM/Prob002_adder_16bit/Gen0/Prob002_adder_16bit_initial_sample10.syn.v,parsed,63,118,89,85,101,0,3,1.228813559322034,1.6354123287846556,0.38,13,13,0
11,5caae1de-2020-485f-b97b-307f47b93805,aspdac2026_release,aspdac2026/deepseek_clean_results/RTLLM/Prob002_adder_16bit,exp/diversity_check/aspdac2026_submission_source/REvolution-aspdac2026-submission/exp/deepseek_clean_results/RTLLM/Prob002_adder_16bit/Gen0/Prob002_adder_16bit_initial_sample5.syn.v,parsed,63,118,89,85,101,0,3,1.228813559322034,1.6354123287846556,0.38,13,13,0
12,230f52a5-d871-4989-8151-7ac8fab10979,aspdac2026_release,aspdac2026/deepseek_clean_results/RTLLM/Prob003_adder_32bit,exp/diversity_check/aspdac2026_submission_source/REvolution-aspdac2026-submission/exp/deepseek_clean_results/RTLLM/Prob003_adder_32bit/Gen0/Prob003_adder_32bit_initial_sample1.syn.v,parsed,207,311,375,247,278,0,6,1.5016077170418007,1.940072888769778,0.21188630490956073,8,9,0
13,3d0e8316-7919-4f19-9b37-70455bff39ff,aspdac2026_release,aspdac2026/deepseek_clean_results/RTLLM/Prob003_adder_32bit,exp/diversity_check/aspdac2026_submission_source/REvolution-aspdac2026-submission/exp/deepseek_clean_results/RTLLM/Prob003_adder_32bit/Gen0/Prob003_adder_32bit_initial_sample3.syn.v,parsed,211,315,413,251,282,1,7,1.5873015873015872,2.008659870933033,0.16548463356973994,8,9,0
14,4af24fbc-50b4-4600-ae64-31656eb3b253,aspdac2026_release,aspdac2026/deepseek_clean_results/RTLLM/Prob003_adder_32bit,exp/diversity_check/aspdac2026_submission_source/REvolution-aspdac2026-submission/exp/deepseek_clean_results/RTLLM/Prob003_adder_32bit/Gen0/Prob003_adder_32bit_initial_sample4.syn.v,parsed,220,324,422,260,291,1,6,1.5679012345679013,1.9929629583750392,0.15348837209302327,9,9,0
15,52c6fa40-248f-4006-a675-014c29d2480e,aspdac2026_release,aspdac2026/deepseek_clean_results/RTLLM/Prob003_adder_32bit,exp/diversity_check/aspdac2026_submission_source/REvolution-aspdac2026-submission/exp/deepseek_clean_results/RTLLM/Prob003_adder_32bit/Gen0/Prob003_adder_32bit_initial_sample6.syn.v,parsed,220,324,422,260,291,1,6,1.5679012345679013,1.9929629583750392,0.15348837209302327,9,9,0
16,d685dd41-2bf9-4bf4-a677-eebf524b745c,aspdac2026_release,aspdac2026/deepseek_clean_results/RTLLM/Prob003_adder_32bit,exp/diversity_check/aspdac2026_submission_source/REvolution-aspdac2026-submission/exp/deepseek_clean_results/RTLLM/Prob003_adder_32bit/Gen0/Prob003_adder_32bit_initial_sample2.syn.v,parsed,203,307,379,243,274,2,6,1.511400651465798,1.9381170221716046,0.20155038759689922,9,9,0
17,e82f13d6-379e-4a24-b965-297f2b0cfd15,aspdac2026_release,aspdac2026/deepseek_clean_results/RTLLM/Prob003_adder_32bit,exp/diversity_check/aspdac2026_submission_source/REvolution-aspdac2026-submission/exp/deepseek_clean_results/RTLLM/Prob003_adder_32bit/Gen0/Prob003_adder_32bit_initial_sample10.syn.v,parsed,221,325,418,261,292,1,6,1.5507692307692307,1.9619225810958467,0.16,8,9,0
18,5c8bbaf4-57a0-4235-822e-871452f3d72e,aspdac2026_release,aspdac2026/deepseek_clean_results/RTLLM/Prob004_adder_8bit,exp/diversity_check/aspdac2026_submission_source/REvolution-aspdac2026-submission/exp/deepseek_clean_results/RTLLM/Prob004_adder_8bit/Gen1/Prob004_adder_8bit_M-R_sample6.syn.v,parsed,18,43,17,26,34,0,1,0.7906976744186046,0.7401470427139037,0.11764705882352941,10,11,0
19,65488f0c-bdb8-412c-b7ed-c3f73077f848,aspdac2026_release,aspdac2026/deepseek_clean_results/RTLLM/Prob004_adder_8bit,exp/diversity_check/aspdac2026_submission_source/REvolution-aspdac2026-submission/exp/deepseek_clean_results/RTLLM/Prob004_adder_8bit/Gen1/Prob004_adder_8bit_M-R_sample7.syn.v,parsed,18,43,17,26,34,0,1,0.7906976744186046,0.7401470427139037,0.11764705882352941,10,11,0
20,6bda235f-55f8-4080-872a-8b72e1698e68,aspdac2026_release,aspdac2026/deepseek_clean_results/RTLLM/Prob004_adder_8bit,exp/diversity_check/aspdac2026_submission_source/REvolution-aspdac2026-submission/exp/deepseek_clean_results/RTLLM/Prob004_adder_8bit/Gen1/Prob004_adder_8bit_M-R_sample10.syn.v,parsed,18,43,17,26,34,0,1,0.7906976744186046,0.7401470427139037,0.11764705882352941,10,11,0
21,afd88a12-9825-495e-bae5-ead0b7b15a44,aspdac2026_release,aspdac2026/deepseek_clean_results/RTLLM/Prob004_adder_8bit,exp/diversity_check/aspdac2026_submission_source/REvolution-aspdac2026-submission/exp/deepseek_clean_results/RTLLM/Prob004_adder_8bit/Gen1/Prob004_adder_8bit_M-R_sample4.syn.v,parsed,18,43,17,26,34,0,1,0.7906976744186046,0.7401470427139037,0.11764705882352941,10,11,0
22,b0d68ccc-5724-48c1-9202-c5bb679050fd,aspdac2026_release,aspdac2026/deepseek_clean_results/RTLLM/Prob004_adder_8bit,exp/diversity_check/aspdac2026_submission_source/REvolution-aspdac2026-submission/exp/deepseek_clean_results/RTLLM/Prob004_adder_8bit/Gen1/Prob004_adder_8bit_M-F_sample3.syn.v,parsed,26,51,25,34,42,0,1,0.8235294117647058,0.6722948170756379,0.08,10,12,0
23,26d5a50d-2c04-40fb-bf6b-02ece44919d3,aspdac2026_release,aspdac2026/deepseek_clean_results/RTLLM/Prob004_adder_8bit,exp/diversity_check/aspdac2026_submission_source/REvolution-aspdac2026-submission/exp/deepseek_clean_results/RTLLM/Prob004_adder_8bit/Gen2/Prob004_adder_8bit_M-S_sample6.syn.v,parsed,18,43,17,26,34,0,1,0.7906976744186046,0.7401470427139037,0.11764705882352941,10,11,0
24,25bb6223-43fa-4c80-a407-adf2d71b1edd,aspdac2026_release,aspdac2026/deepseek_clean_results/RTLLM/Prob005_adder_bcd,exp/diversity_check/aspdac2026_submission_source/REvolution-aspdac2026-submission/exp/deepseek_clean_results/RTLLM/Prob005_adder_bcd/Gen0/Prob005_adder_bcd_initial_sample9.syn.v,parsed,26,41,50,32,36,1,7,1.4878048780487805,1.766922243078282,0.29411764705882354,8,11,0
25,41f37239-3b04-4e84-9e8f-5cc325e1f38d,aspdac2026_release,aspdac2026/deepseek_clean_results/RTLLM/Prob005_adder_bcd,exp/diversity_check/aspdac2026_submission_source/REvolution-aspdac2026-submission/exp/deepseek_clean_results/RTLLM/Prob005_adder_bcd/Gen0/Prob005_adder_bcd_initial_sample1.syn.v,parsed,26,41,50,32,36,1,7,1.4878048780487805,1.766922243078282,0.29411764705882354,8,11,0
26,6dfdca01-09fc-41c8-8758-66fb36c43f58,aspdac2026_release,aspdac2026/deepseek_clean_results/RTLLM/Prob005_adder_bcd,exp/diversity_check/aspdac2026_submission_source/REvolution-aspdac2026-submission/exp/deepseek_clean_results/RTLLM/Prob005_adder_bcd/Gen0/Prob005_adder_bcd_initial_sample4.syn.v,parsed,42,57,76,48,52,0,5,1.543859649122807,1.8953713843797022,0.14285714285714285,6,7,0
27,73e9151b-40bf-4a0b-b340-cc08aa303286,aspdac2026_release,aspdac2026/deepseek_clean_results/RTLLM/Prob005_adder_bcd,exp/diversity_check/aspdac2026_submission_source/REvolution-aspdac2026-submission/exp/deepseek_clean_results/RTLLM/Prob005_adder_bcd/Gen0/Prob005_adder_bcd_initial_sample8.syn.v,parsed,26,41,50,32,36,1,7,1.4878048780487805,1.766922243078282,0.29411764705882354,8,11,0
28,7dd6fd01-2bc4-4f8c-b788-216d0acf1af7,aspdac2026_release,aspdac2026/deepseek_clean_results/RTLLM/Prob005_adder_bcd,exp/diversity_check/aspdac2026_submission_source/REvolution-aspdac2026-submission/exp/deepseek_clean_results/RTLLM/Prob005_adder_bcd/Gen0/Prob005_adder_bcd_initial_sample7.syn.v,parsed,26,41,50,32,36,1,7,1.4878048780487805,1.766922243078282,0.29411764705882354,8,11,0
29,c01b93bb-7b2d-480e-b443-79ac3f00ea56,aspdac2026_release,aspdac2026/deepseek_clean_results/RTLLM/Prob005_adder_bcd,exp/diversity_check/aspdac2026_submission_source/REvolution-aspdac2026-submission/exp/deepseek_clean_results/RTLLM/Prob005_adder_bcd/Gen0/Prob005_adder_bcd_initial_sample10.syn.v,parsed,26,41,50,32,36,1,7,1.4878048780487805,1.766922243078282,0.29411764705882354,8,11,0
30,1bc70fa8-8b7d-4943-95a1-6fbe54a46257,aspdac2026_release,aspdac2026/deepseek_clean_results/RTLLM/Prob007_comparator_3bit,exp/diversity_check/aspdac2026_submission_source/REvolution-aspdac2026-submission/exp/deepseek_clean_results/RTLLM/Prob007_comparator_3bit/Gen0/Prob007_comparator_3bit_initial_sample10.syn.v,parsed,16,25,25,19,23,0,4,1.32,1.514185957637955,0.0,3,4,0
31,28d150f3-9496-4b04-9fa5-0851930cd2ae,aspdac2026_release,aspdac2026/deepseek_clean_results/RTLLM/Prob007_comparator_3bit,exp/diversity_check/aspdac2026_submission_source/REvolution-aspdac2026-submission/exp/deepseek_clean_results/RTLLM/Prob007_comparator_3bit/Gen0/Prob007_comparator_3bit_initial_sample5.syn.v,parsed,12,21,17,15,19,0,3,1.1428571428571428,1.280019973431558,0.0,2,4,0
32,543eda31-2c0c-40f0-84e0-604255ae05bf,aspdac2026_release,aspdac2026/deepseek_clean_results/RTLLM/Prob007_comparator_3bit,exp/diversity_check/aspdac2026_submission_source/REvolution-aspdac2026-submission/exp/deepseek_clean_results/RTLLM/Prob007_comparator_3bit/Gen0/Prob007_comparator_3bit_initial_sample8.syn.v,parsed,16,25,25,19,23,0,4,1.32,1.514185957637955,0.0,3,4,0
33,78e45fa6-701d-4730-ae2d-4ca5c16f063c,aspdac2026_release,aspdac2026/deepseek_clean_results/RTLLM/Prob007_comparator_3bit,exp/diversity_check/aspdac2026_submission_source/REvolution-aspdac2026-submission/exp/deepseek_clean_results/RTLLM/Prob007_comparator_3bit/Gen0/Prob007_comparator_3bit_initial_sample6.syn.v,parsed,16,25,25,19,23,0,4,1.32,1.514185957637955,0.0,3,4,0
34,7be89533-3c71-41be-8f87-ee65298d37da,aspdac2026_release,aspdac2026/deepseek_clean_results/RTLLM/Prob007_comparator_3bit,exp/diversity_check/aspdac2026_submission_source/REvolution-aspdac2026-submission/exp/deepseek_clean_results/RTLLM/Prob007_comparator_3bit/Gen0/Prob007_comparator_3bit_initial_sample1.syn.v,parsed,16,25,25,19,23,0,4,1.32,1.514185957637955,0.0,3,4,0
35,814578b7-3b2b-4a51-b751-7b06249a9511,aspdac2026_release,aspdac2026/deepseek_clean_results/RTLLM/Prob007_comparator_3bit,exp/diversity_check/aspdac2026_submission_source/REvolution-aspdac2026-submission/exp/deepseek_clean_results/RTLLM/Prob007_comparator_3bit/Gen0/Prob007_comparator_3bit_initial_sample2.syn.v,parsed,16,25,25,19,23,0,4,1.32,1.514185957637955,0.0,3,4,0
36,047ef392-cf50-4658-99fc-77cd34c7ad8c,aspdac2026_release,aspdac2026/deepseek_clean_results/RTLLM/Prob008_comparator_4bit,exp/diversity_check/aspdac2026_submission_source/REvolution-aspdac2026-submission/exp/deepseek_clean_results/RTLLM/Prob008_comparator_4bit/Gen0/Prob008_comparator_4bit_initial_sample5.syn.v,parsed,24,40,30,32,33,0,4,1.2,1.694192312846592,0.0,1,3,0
37,0f4cbc9e-3868-43c0-bbb9-b787120e73c6,aspdac2026_release,aspdac2026/deepseek_clean_results/RTLLM/Prob008_comparator_4bit,exp/diversity_check/aspdac2026_submission_source/REvolution-aspdac2026-submission/exp/deepseek_clean_results/RTLLM/Prob008_comparator_4bit/Gen0/Prob008_comparator_4bit_initial_sample7.syn.v,parsed,20,33,33,25,30,0,3,1.303030303030303,1.5413692297682289,0.17647058823529413,5,7,0
38,161e2725-94cf-4234-b04f-7e6123f357e1,aspdac2026_release,aspdac2026/deepseek_clean_results/RTLLM/Prob008_comparator_4bit,exp/diversity_check/aspdac2026_submission_source/REvolution-aspdac2026-submission/exp/deepseek_clean_results/RTLLM/Prob008_comparator_4bit/Gen0/Prob008_comparator_4bit_initial_sample2.syn.v,parsed,20,33,33,25,30,0,3,1.303030303030303,1.5413692297682289,0.17647058823529413,5,7,0
39,1dcf5e9a-7141-4da8-ba3f-8dea45b6465d,aspdac2026_release,aspdac2026/deepseek_clean_results/RTLLM/Prob008_comparator_4bit,exp/diversity_check/aspdac2026_submission_source/REvolution-aspdac2026-submission/exp/deepseek_clean_results/RTLLM/Prob008_comparator_4bit/Gen0/Prob008_comparator_4bit_initial_sample4.syn.v,parsed,20,33,33,25,30,0,3,1.303030303030303,1.5413692297682289,0.17647058823529413,5,7,0
40,355c82cb-c1ee-47b5-8fac-04bcf46080b2,aspdac2026_release,aspdac2026/deepseek_clean_results/RTLLM/Prob008_comparator_4bit,exp/diversity_check/aspdac2026_submission_source/REvolution-aspdac2026-submission/exp/deepseek_clean_results/RTLLM/Prob008_comparator_4bit/Gen0/Prob008_comparator_4bit_initial_sample9.syn.v,parsed,17,29,23,21,27,0,3,1.1379310344827587,1.1301363189199671,0.0,3,5,0
41,5142917b-29cb-4183-b2a7-de46e91cacb4,aspdac2026_release,aspdac2026/deepseek_clean_results/RTLLM/Prob008_comparator_4bit,exp/diversity_check/aspdac2026_submission_source/REvolution-aspdac2026-submission/exp/deepseek_clean_results/RTLLM/Prob008_comparator_4bit/Gen0/Prob008_comparator_4bit_initial_sample10.syn.v,parsed,20,33,33,25,30,0,3,1.303030303030303,1.5413692297682289,0.17647058823529413,5,7,0
42,0b995c50-9a1d-465e-a6d9-f594b358ba97,aspdac2026_release,aspdac2026/deepseek_clean_results/RTLLM/Prob009_div_16bit,exp/diversity_check/aspdac2026_submission_source/REvolution-aspdac2026-submission/exp/deepseek_clean_results/RTLLM/Prob009_div_16bit/Gen0/Prob009_div_16bit_initial_sample1.syn.v,parsed,1572,1826,3833,1802,1792,47,19,1.9731653888280394,2.0531344771525215,0.17280747275557862,86,86,970
43,54349204-3ffd-4b73-835c-830081890322,aspdac2026_release,aspdac2026/deepseek_clean_results/RTLLM/Prob009_div_16bit,exp/diversity_check/aspdac2026_submission_source/REvolution-aspdac2026-submission/exp/deepseek_clean_results/RTLLM/Prob009_div_16bit/Gen0/Prob009_div_16bit_initial_sample2.syn.v,parsed,1631,1885,4003,1861,1851,46,19,2.022811671087533,2.0835006909319373,0.18104949017657299,78,78,1012
44,5a2f8628-d59d-4b3e-8c61-dd79a9c0f221,aspdac2026_release,aspdac2026/deepseek_clean_results/RTLLM/Prob009_div_16bit,exp/diversity_check/aspdac2026_submission_source/REvolution-aspdac2026-submission/exp/deepseek_clean_results/RTLLM/Prob009_div_16bit/Gen0/Prob009_div_16bit_initial_sample4.syn.v,parsed,1484,1718,3769,1694,1682,53,21,2.0168800931315483,2.0976041238301892,0.15942408376963352,49,50,1047
45,ab6e446e-07d4-4a1a-8aad-cc4e49202cb5,aspdac2026_release,aspdac2026/deepseek_clean_results/RTLLM/Prob009_div_16bit,exp/diversity_check/aspdac2026_submission_source/REvolution-aspdac2026-submission/exp/deepseek_clean_results/RTLLM/Prob009_div_16bit/Gen0/Prob009_div_16bit_initial_sample7.syn.v,parsed,1630,1863,4250,1839,1844,54,24,2.0633387010198603,2.0788837286729174,0.09906976744186047,31,32,1363
46,4aabda9e-116a-4bde-b996-cd7ff7483da4,aspdac2026_release,aspdac2026/deepseek_clean_results/RTLLM/Prob009_div_16bit,exp/diversity_check/aspdac2026_submission_source/REvolution-aspdac2026-submission/exp/deepseek_clean_results/RTLLM/Prob009_div_16bit/Gen2/Prob009_div_16bit_M-I_sample5.syn.v,parsed,2003,2258,5182,2234,2214,51,20,2.1231178033658105,2.1477429644213406,0.23939335765022077,37,38,1613
47,5240e01b-8006-4d82-8547-ecaa9d0a677d,aspdac2026_release,aspdac2026/deepseek_clean_results/RTLLM/Prob009_div_16bit,exp/diversity_check/aspdac2026_submission_source/REvolution-aspdac2026-submission/exp/deepseek_clean_results/RTLLM/Prob009_div_16bit/Gen2/Prob009_div_16bit_M-I_sample8.syn.v,parsed,1074,1284,2567,1260,1252,30,27,1.894859813084112,1.973798424163131,0.14000767165324127,25,25,803
48,76aab9cd-d774-47c8-8593-0b99d87be3f0,aspdac2026_release,aspdac2026/deepseek_clean_results/RTLLM/Prob011_multi_16bit,exp/diversity_check/aspdac2026_submission_source/REvolution-aspdac2026-submission/exp/deepseek_clean_results/RTLLM/Prob011_multi_16bit/Gen0/Prob011_multi_16bit_initial_sample10.syn.v,parsed,572,729,1371,694,663,25,70,1.813443072702332,2.0101368075731862,0.0,1,1,571
49,79097ff4-eab3-458a-b7c3-db6789f61b6d,aspdac2026_release,aspdac2026/deepseek_clean_results/RTLLM/Prob011_multi_16bit,exp/diversity_check/aspdac2026_submission_source/REvolution-aspdac2026-submission/exp/deepseek_clean_results/RTLLM/Prob011_multi_16bit/Gen0/Prob011_multi_16bit_initial_sample2.syn.v,parsed,606,762,1501,727,698,21,70,1.8818897637795275,2.0268102191717308,0.0,1,1,605
50,7b29c8af-1ad2-45e6-a02f-d7b6fd479b2f,aspdac2026_release,aspdac2026/deepseek_clean_results/RTLLM/Prob011_multi_16bit,exp/diversity_check/aspdac2026_submission_source/REvolution-aspdac2026-submission/exp/deepseek_clean_results/RTLLM/Prob011_multi_16bit/Gen0/Prob011_multi_16bit_initial_sample8.syn.v,parsed,590,750,1379,715,682,19,70,1.852,2.012253259070619,0.0,2,2,588
51,7e10376f-88cf-4f17-8931-2b0bce9b5073,aspdac2026_release,aspdac2026/deepseek_clean_results/RTLLM/Prob011_multi_16bit,exp/diversity_check/aspdac2026_submission_source/REvolution-aspdac2026-submission/exp/deepseek_clean_results/RTLLM/Prob011_multi_16bit/Gen0/Prob011_multi_16bit_initial_sample6.syn.v,parsed,577,735,1420,700,669,24,70,1.8394557823129252,2.024501330371481,0.0,1,1,576
52,801fc0e4-e054-49bd-981a-7e01e0060756,aspdac2026_release,aspdac2026/deepseek_clean_results/RTLLM/Prob011_multi_16bit,exp/diversity_check/aspdac2026_submission_source/REvolution-aspdac2026-submission/exp/deepseek_clean_results/RTLLM/Prob011_multi_16bit/Gen0/Prob011_multi_16bit_initial_sample3.syn.v,parsed,581,737,1415,702,672,22,70,1.8629579375848033,2.036691264952209,0.0,1,1,580
53,bb12dc31-aef1-44aa-9568-0fb5721094c9,aspdac2026_release,aspdac2026/deepseek_clean_results/RTLLM/Prob011_multi_16bit,exp/diversity_check/aspdac2026_submission_source/REvolution-aspdac2026-submission/exp/deepseek_clean_results/RTLLM/Prob011_multi_16bit/Gen0/Prob011_multi_16bit_initial_sample1.syn.v,parsed,610,801,1453,766,670,24,103,1.811485642946317,2.1590180875537115,0.0,1,1,609
54,1c6f4d2b-246d-4365-a14a-929739c958ef,aspdac2026_release,aspdac2026/deepseek_clean_results/RTLLM/Prob012_multi_8bit,exp/diversity_check/aspdac2026_submission_source/REvolution-aspdac2026-submission/exp/deepseek_clean_results/RTLLM/Prob012_multi_8bit/Gen0/Prob012_multi_8bit_initial_sample6.syn.v,parsed,420,511,948,495,495,9,14,1.8727984344422701,1.9854265524684476,0.4154639175257732,70,73,0
55,698ee9ef-59e8-4ac7-926c-dcc8f59ce875,aspdac2026_release,aspdac2026/deepseek_clean_results/RTLLM/Prob012_multi_8bit,exp/diversity_check/aspdac2026_submission_source/REvolution-aspdac2026-submission/exp/deepseek_clean_results/RTLLM/Prob012_multi_8bit/Gen0/Prob012_multi_8bit_initial_sample10.syn.v,parsed,420,511,948,495,495,9,14,1.8727984344422701,1.9854265524684476,0.4154639175257732,70,73,0
56,dc1addb8-749a-4429-8685-dea8ee85d8fd,aspdac2026_release,aspdac2026/deepseek_clean_results/RTLLM/Prob012_multi_8bit,exp/diversity_check/aspdac2026_submission_source/REvolution-aspdac2026-submission/exp/deepseek_clean_results/RTLLM/Prob012_multi_8bit/Gen0/Prob012_multi_8bit_initial_sample9.syn.v,parsed,420,511,948,495,495,9,14,1.8727984344422701,1.9854265524684476,0.4154639175257732,70,73,0
57,59d46079-0f78-4b4c-8067-740e64cd8f3c,aspdac2026_release,aspdac2026/deepseek_clean_results/RTLLM/Prob012_multi_8bit,exp/diversity_check/aspdac2026_submission_source/REvolution-aspdac2026-submission/exp/deepseek_clean_results/RTLLM/Prob012_multi_8bit/Gen1/Prob012_multi_8bit_M-S_sample3.syn.v,parsed,420,511,948,495,495,9,14,1.8727984344422701,1.9854265524684476,0.4154639175257732,70,73,0
58,659661eb-6f0a-4601-9a82-1bc0703e77f4,aspdac2026_release,aspdac2026/deepseek_clean_results/RTLLM/Prob012_multi_8bit,exp/diversity_check/aspdac2026_submission_source/REvolution-aspdac2026-submission/exp/deepseek_clean_results/RTLLM/Prob012_multi_8bit/Gen1/Prob012_multi_8bit_M-F_sample5.syn.v,parsed,420,511,948,495,495,9,14,1.8727984344422701,1.9854265524684476,0.4154639175257732,70,73,0
59,782ced89-1eaf-4fce-80cc-76ce1d92714f,aspdac2026_release,aspdac2026/deepseek_clean_results/RTLLM/Prob012_multi_8bit,exp/diversity_check/aspdac2026_submission_source/REvolution-aspdac2026-submission/exp/deepseek_clean_results/RTLLM/Prob012_multi_8bit/Gen1/Prob012_multi_8bit_C-F_sample10.syn.v,parsed,420,511,948,495,495,9,14,1.8727984344422701,1.9854265524684476,0.4154639175257732,70,73,0
60,aa96eb4e-30c5-4b9a-afa1-30d4f8912a67,aspdac2026_release,aspdac2026/deepseek_clean_results/RTLLM/Prob013_multi_booth_8bit,exp/diversity_check/aspdac2026_submission_source/REvolution-aspdac2026-submission/exp/deepseek_clean_results/RTLLM/Prob013_multi_booth_8bit/Gen6/Prob013_multi_booth_8bit_M-F_sample3.syn.v,parsed,423,529,959,511,497,10,51,1.8015122873345937,1.7769727630443026,0.0,2,2,420
61,1c6f30ef-ce7f-44c3-b500-cc5a836e7ecc,aspdac2026_release,aspdac2026/deepseek_clean_results/RTLLM/Prob013_multi_booth_8bit,exp/diversity_check/aspdac2026_submission_source/REvolution-aspdac2026-submission/exp/deepseek_clean_results/RTLLM/Prob013_multi_booth_8bit/Gen8/Prob013_multi_booth_8bit_M-S_sample9.syn.v,parsed,421,533,990,515,515,10,44,1.7654784240150094,1.753188124480583,0.0,3,3,416
62,31fd10c7-7057-45f2-82ea-3375477f87ab,aspdac2026_release,aspdac2026/deepseek_clean_results/RTLLM/Prob013_multi_booth_8bit,exp/diversity_check/aspdac2026_submission_source/REvolution-aspdac2026-submission/exp/deepseek_clean_results/RTLLM/Prob013_multi_booth_8bit/Gen9/Prob013_multi_booth_8bit_M-S_sample9.syn.v,parsed,421,533,990,515,515,10,44,1.7654784240150094,1.753188124480583,0.0,3,3,416
