feature,count,finite_fraction,unique_count,unique_ratio,nonzero_fraction,min,max,mean,stddev,q25,q75,iqr,normalized_range_coverage,collapsed,near_collapsed
scoap_cc0_bin_3_pct,141,1.0,26,0.18439716312056736,0.6170212765957447,0.0,0.6060606060606061,0.16756020036530941,0.18381495640638115,0.0,0.36129032258064514,0.36129032258064514,1.0,False,False
scoap_cc1_bin_0_pct,141,1.0,34,0.24113475177304963,1.0,0.14112903225806453,0.75,0.3359781851491611,0.19010648577489594,0.18181818181818182,0.40625,0.22443181818181818,1.0,False,False
scoap_cc1_bin_1_pct,141,1.0,35,0.24822695035460993,0.9432624113475178,0.0,0.5869565217391305,0.2537995171486929,0.1626352157444503,0.11904761904761904,0.3125,0.19345238095238096,1.0,False,False
scoap_cc1_bin_2_pct,141,1.0,34,0.24113475177304963,0.8226950354609929,0.0,0.6666666666666666,0.23204095191115034,0.17143540520854184,0.09898989898989899,0.3181818181818182,0.2191919191919192,1.0,False,False
scoap_cc1_bin_3_pct,141,1.0,27,0.19148936170212766,0.5460992907801419,0.0,0.6828282828282828,0.1781813457909956,0.21202911221295084,0.0,0.36129032258064514,0.36129032258064514,1.0,False,False
scoap_co_bin_0_pct,141,1.0,37,0.2624113475177305,1.0,0.0625,0.75,0.286806457151492,0.20011522187602304,0.1232876712328767,0.359375,0.2360873287671233,1.0,False,False
scoap_co_bin_1_pct,141,1.0,26,0.18439716312056736,0.723404255319149,0.0,0.5454545454545454,0.13670518854848127,0.15889549241922152,0.0,0.22727272727272727,0.22727272727272727,1.0,False,False
scoap_co_bin_2_pct,141,1.0,30,0.2127659574468085,0.6950354609929078,0.0,0.7017543859649122,0.19302549359515334,0.18806867032620272,0.0,0.3181818181818182,0.3181818181818182,1.0,False,False
scoap_co_bin_3_pct,141,1.0,37,0.2624113475177305,0.9929078014184397,0.0,0.9171717171717172,0.38346286070487334,0.2545892947659832,0.20454545454545456,0.6551724137931034,0.45062695924764884,1.0,False,False
scoap_signal_smoothness,141,1.0,49,0.3475177304964539,1.0,0.011035441913989827,0.5485824732126737,0.249974147636978,0.20305668774648356,0.062429893703442166,0.46966146435357947,0.4072315706501373,1.0,False,False
seq_ratio,141,1.0,21,0.14893617021276595,0.6312056737588653,0.0,0.5,0.15691509265747658,0.1565413872599118,0.0,0.2727272727272727,0.2727272727272727,1.0,False,False
sequential_cells,141,1.0,14,0.09929078014184398,0.6312056737588653,0.0,51.0,6.9787234042553195,10.604741402517789,0.0,9.0,9.0,1.0,False,False
share_family_inv,141,1.0,16,0.11347517730496454,0.48936170212765956,0.0,0.5,0.08425501991424539,0.14427046047343656,0.0,0.07692307692307693,0.07692307692307693,1.0,False,False
shift_op_count,141,1.0,5,0.03546099290780142,0.12056737588652482,0.0,8.0,0.6453900709219859,1.8873778266713406,0.0,0.0,0.0,1.0,False,False
sog_complexity_score,141,1.0,34,0.24113475177304963,1.0,3.0,86.0,31.70212765957447,21.120976995203844,17.0,41.0,24.0,1.0,False,False
sog_entropy,141,1.0,35,0.24822695035460993,0.7801418439716312,0.0,2.197159723424149,1.3533178653105333,0.7996846018027722,1.0,2.020727779800787,1.020727779800787,1.0,False,False
state_control_ratio,141,1.0,26,0.18439716312056736,1.0,0.03125,4.0,0.7433006235525009,0.7669032037211492,0.1875,1.0,0.8125,1.0,False,False
ternary_count,141,1.0,8,0.05673758865248227,0.40425531914893614,0.0,9.0,1.6879432624113475,2.4671882286615454,0.0,3.0,3.0,1.0,False,False
timing_risk_entropy,141,1.0,57,0.40425531914893614,1.0,0.8658566174572235,2.1355427594777203,1.5593522610049224,0.40616912885938083,1.3709505944546687,1.920462367552558,0.5495117730978893,1.0,False,False
timing_risk_score,141,1.0,57,0.40425531914893614,1.0,2.45,83.25,28.078014184397162,18.74634845653146,14.399999999999999,40.5,26.1,1.0,False,False
total_cells,141,1.0,32,0.22695035460992907,1.0,2.0,1415.0,147.04964539007094,335.61402024495436,15.0,67.0,52.0,1.0,False,False
unique_identifier_count,141,1.0,31,0.2198581560283688,1.0,3.0,55.0,20.95035460992908,12.031475411746959,14.0,26.0,12.0,1.0,False,False
utilization,141,1.0,1,0.0070921985815602835,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,True,True
wire_cell_ratio_est,141,1.0,31,0.2198581560283688,1.0,1.0,2.0,1.3103439891494293,0.23326903666836749,1.1944444444444444,1.3888888888888888,0.19444444444444442,1.0,False,False
wire_count_log_est,141,1.0,34,0.24113475177304963,1.0,1.3862943611198906,7.322510433997394,3.732484517583346,1.5321231518684069,2.9444389791664403,4.406719247264253,1.462280268097813,1.0,False,False
