method,method_label,benchmark,problem,candidate_id,generation,is_front,line_count,operator_pressure_score,timing_risk_score,control_pipeline_ratio,pipeline_event_count,control_count,timing_risk_entropy,unique_identifier_count,timing_risk_cell,operator_timing_cell,control_pipeline_cell,code_file_path
classic_revolution,Classic,RTLLM,Prob024_fsm,4fce44ba-acae-4e1b-83cc-81a9910e55d0,3,false,35.000000,8.000000,21.200000,2.000000,3.000000,7.000000,1.845218,19.000000,"2,1","1,1","0,0",/workspace/exp/useful_bd_push/t47_t26_contract_probe_20260622_203146_UTC/hard_tuning/classic_revolution/seed_1001/openai_gpt-oss-120b/RTLLM/Prob024_fsm/Gen3/Prob024_fsm_sample9_M-I/code.sv
classic_revolution,Classic,RTLLM,Prob024_fsm,9481e896-f524-482a-b607-e66dc5d87b93,3,false,34.000000,5.000000,17.450000,1.600000,4.000000,7.000000,1.490640,22.000000,"0,0","0,0","0,1",/workspace/exp/useful_bd_push/t47_t26_contract_probe_20260622_203146_UTC/hard_tuning/classic_revolution/seed_1001/openai_gpt-oss-120b/RTLLM/Prob024_fsm/Gen3/Prob024_fsm_sample12_M-S/code.sv
classic_revolution,Classic,RTLLM,Prob024_fsm,ba0ffaf8-812d-4f31-a44b-71849e5990d5,3,false,29.000000,5.000000,17.150000,1.600000,4.000000,7.000000,1.549211,24.000000,"0,0","0,0","0,1",/workspace/exp/useful_bd_push/t47_t26_contract_probe_20260622_203146_UTC/hard_tuning/classic_revolution/seed_1001/openai_gpt-oss-120b/RTLLM/Prob024_fsm/Gen3/Prob024_fsm_sample2_M-S/code.sv
code_thought_front_slot_qd,T51 code-thought,RTLLM,Prob024_fsm,0a2d7304-bcd6-4674-aa15-b25c1c9d5d6d,1,false,49.000000,9.000000,22.450000,1.600000,4.000000,7.000000,1.743373,20.000000,"0,2","1,2","0,1",/workspace/exp/useful_bd_push/t51_code_thought_front_slot_20260623_030540_UTC/hard_tuning/code_thought_front_slot_qd/seed_1001/openai_gpt-oss-120b/RTLLM/Prob024_fsm/Gen1/Prob024_fsm_sample1_single_thought_operator/code.sv
code_thought_front_slot_qd,T51 code-thought,RTLLM,Prob024_fsm,17d042df-e340-4e41-960a-de2a86cfad07,1,false,35.000000,9.000000,21.700000,1.600000,4.000000,7.000000,1.901609,20.000000,"0,1","1,1","0,1",/workspace/exp/useful_bd_push/t51_code_thought_front_slot_20260623_030540_UTC/hard_tuning/code_thought_front_slot_qd/seed_1001/openai_gpt-oss-120b/RTLLM/Prob024_fsm/Gen1/Prob024_fsm_sample7_single_thought_operator/code.sv
code_thought_front_slot_qd,T51 code-thought,RTLLM,Prob024_fsm,2268de83-b31e-47db-8eac-792cca7f84a0,1,true,52.000000,9.000000,22.600000,1.600000,4.000000,7.000000,1.711619,23.000000,"0,2","1,2","0,1",/workspace/exp/useful_bd_push/t51_code_thought_front_slot_20260623_030540_UTC/hard_tuning/code_thought_front_slot_qd/seed_1001/openai_gpt-oss-120b/RTLLM/Prob024_fsm/Gen1/Prob024_fsm_sample11_single_thought_operator/code.sv
code_thought_front_slot_qd,T51 code-thought,RTLLM,Prob024_fsm,44e4113b-e4eb-4f0f-b1bb-9e683553bd0d,1,false,70.000000,5.000000,17.600000,1.600000,4.000000,7.000000,1.461860,22.000000,"0,0","0,0","0,1",/workspace/exp/useful_bd_push/t51_code_thought_front_slot_20260623_030540_UTC/hard_tuning/code_thought_front_slot_qd/seed_1001/openai_gpt-oss-120b/RTLLM/Prob024_fsm/Gen1/Prob024_fsm_sample8_single_thought_operator/code.sv
code_thought_front_slot_qd,T51 code-thought,RTLLM,Prob024_fsm,2939bf07-8360-4b92-b39d-7e34167892d0,3,false,55.000000,7.000000,23.100000,1.800000,4.000000,8.000000,1.471737,23.000000,"2,3","1,3","3,1",/workspace/exp/useful_bd_push/t51_code_thought_front_slot_20260623_030540_UTC/hard_tuning/code_thought_front_slot_qd/seed_1001/openai_gpt-oss-120b/RTLLM/Prob024_fsm/Gen3/Prob024_fsm_sample1_single_thought_operator/code.sv
code_thought_front_slot_qd,T51 code-thought,RTLLM,Prob024_fsm,7a2db799-f874-4e47-b8a8-c44738362ce4,3,false,54.000000,7.000000,21.000000,1.600000,4.000000,7.000000,1.578390,18.000000,"0,1","1,1","0,1",/workspace/exp/useful_bd_push/t51_code_thought_front_slot_20260623_030540_UTC/hard_tuning/code_thought_front_slot_qd/seed_1001/openai_gpt-oss-120b/RTLLM/Prob024_fsm/Gen3/Prob024_fsm_sample7_single_thought_operator/code.sv
fused_rtl_state_pipeline_qd,T63 state/pipeline,RTLLM,Prob024_fsm,7a99531c-d04c-4d00-9bfd-7b3d8b41ce78,0,false,49.000000,11.000000,27.950000,1.800000,4.000000,8.000000,1.744263,22.000000,"2,3","3,3","3,1",/workspace/exp/useful_bd_push/t63_fused_rtl_native_20260623_133903_UTC/hard_tuning/fused_rtl_state_pipeline_qd/seed_1001/openai_gpt-oss-120b/RTLLM/Prob024_fsm/Gen0/Prob024_fsm_sample4_initial/code.sv
fused_rtl_state_pipeline_qd,T63 state/pipeline,RTLLM,Prob024_fsm,25126d60-0583-4051-a55e-900172c59018,1,false,34.000000,9.000000,21.700000,1.600000,4.000000,7.000000,1.901609,20.000000,"0,1","1,1","0,1",/workspace/exp/useful_bd_push/t63_fused_rtl_native_20260623_133903_UTC/hard_tuning/fused_rtl_state_pipeline_qd/seed_1001/openai_gpt-oss-120b/RTLLM/Prob024_fsm/Gen1/Prob024_fsm_sample8_single_thought_operator/code.sv
fused_rtl_state_pipeline_qd,T63 state/pipeline,RTLLM,Prob024_fsm,52fab891-78cd-4e06-9337-4c38ca9f759f,1,false,46.000000,9.000000,22.950000,2.000000,3.000000,7.000000,1.743373,19.000000,"2,2","1,2","0,0",/workspace/exp/useful_bd_push/t63_fused_rtl_native_20260623_133903_UTC/hard_tuning/fused_rtl_state_pipeline_qd/seed_1001/openai_gpt-oss-120b/RTLLM/Prob024_fsm/Gen1/Prob024_fsm_sample7_single_thought_operator/code.sv
fused_rtl_state_pipeline_qd,T63 state/pipeline,RTLLM,Prob024_fsm,88c9e9fb-78de-41c7-ac22-c5b18341eb72,1,false,71.000000,5.000000,18.100000,2.000000,3.000000,7.000000,1.461860,21.000000,"2,1","0,1","0,0",/workspace/exp/useful_bd_push/t63_fused_rtl_native_20260623_133903_UTC/hard_tuning/fused_rtl_state_pipeline_qd/seed_1001/openai_gpt-oss-120b/RTLLM/Prob024_fsm/Gen1/Prob024_fsm_sample6_single_thought_operator/code.sv
fused_rtl_state_pipeline_qd,T63 state/pipeline,RTLLM,Prob024_fsm,f2b4794b-d258-41b3-86c8-1b87f7bb198e,1,false,64.000000,5.000000,17.600000,1.600000,4.000000,7.000000,1.461860,22.000000,"0,0","0,0","0,1",/workspace/exp/useful_bd_push/t63_fused_rtl_native_20260623_133903_UTC/hard_tuning/fused_rtl_state_pipeline_qd/seed_1001/openai_gpt-oss-120b/RTLLM/Prob024_fsm/Gen1/Prob024_fsm_sample3_single_thought_operator/code.sv
fused_rtl_state_pipeline_qd,T63 state/pipeline,RTLLM,Prob024_fsm,46881da5-7766-48c5-bbd9-5a560955b31e,2,true,50.000000,9.000000,22.950000,2.000000,3.000000,7.000000,1.743373,19.000000,"2,2","1,2","0,0",/workspace/exp/useful_bd_push/t63_fused_rtl_native_20260623_133903_UTC/hard_tuning/fused_rtl_state_pipeline_qd/seed_1001/openai_gpt-oss-120b/RTLLM/Prob024_fsm/Gen2/Prob024_fsm_sample4_single_thought_operator/code.sv
fused_rtl_state_pipeline_qd,T63 state/pipeline,RTLLM,Prob024_fsm,71e61acf-f45a-4db7-a293-3f9f4d59f719,2,true,35.000000,9.000000,21.700000,1.600000,4.000000,7.000000,1.901609,20.000000,"0,1","1,1","0,1",/workspace/exp/useful_bd_push/t63_fused_rtl_native_20260623_133903_UTC/hard_tuning/fused_rtl_state_pipeline_qd/seed_1001/openai_gpt-oss-120b/RTLLM/Prob024_fsm/Gen2/Prob024_fsm_sample2_single_thought_operator/code.sv
fused_rtl_operator_timing_qd,T64 operator/timing,RTLLM,Prob024_fsm,dc4c7304-7fde-4baf-ab52-42dc0a3b570d,0,false,51.000000,11.000000,27.950000,1.800000,4.000000,8.000000,1.744263,22.000000,"2,3","3,3","3,1",/workspace/exp/useful_bd_push/t64_fused_operator_timing_20260623_144117_UTC/hard_tuning/fused_rtl_operator_timing_qd/seed_1001/openai_gpt-oss-120b/RTLLM/Prob024_fsm/Gen0/Prob024_fsm_sample2_initial/code.sv
fused_rtl_operator_timing_qd,T64 operator/timing,RTLLM,Prob024_fsm,0bed2bb8-b3e6-4093-a1c4-287287d605f6,1,false,46.000000,9.000000,22.450000,1.600000,4.000000,7.000000,1.743373,20.000000,"0,2","1,2","0,1",/workspace/exp/useful_bd_push/t64_fused_operator_timing_20260623_144117_UTC/hard_tuning/fused_rtl_operator_timing_qd/seed_1001/openai_gpt-oss-120b/RTLLM/Prob024_fsm/Gen1/Prob024_fsm_sample2_single_thought_operator/code.sv
fused_rtl_operator_timing_qd,T64 operator/timing,RTLLM,Prob024_fsm,d7bc3c2d-fc00-4f22-80f3-216f5afc2f48,1,false,37.000000,12.000000,27.200000,2.000000,3.000000,7.000000,1.992014,19.000000,"2,3","3,3","0,0",/workspace/exp/useful_bd_push/t64_fused_operator_timing_20260623_144117_UTC/hard_tuning/fused_rtl_operator_timing_qd/seed_1001/openai_gpt-oss-120b/RTLLM/Prob024_fsm/Gen1/Prob024_fsm_sample3_single_thought_operator/code.sv
fused_rtl_operator_timing_qd,T64 operator/timing,RTLLM,Prob024_fsm,f55c46b8-1018-4ccf-a497-286e5b086eb5,1,false,36.000000,9.000000,21.700000,1.600000,4.000000,7.000000,1.901609,20.000000,"0,1","1,1","0,1",/workspace/exp/useful_bd_push/t64_fused_operator_timing_20260623_144117_UTC/hard_tuning/fused_rtl_operator_timing_qd/seed_1001/openai_gpt-oss-120b/RTLLM/Prob024_fsm/Gen1/Prob024_fsm_sample1_single_thought_operator/code.sv
