method,method_label,problem,candidate_id,generation,is_pareto_front,operator_mix_score,state_control_ratio,sog_complexity_score,sog_entropy,timing_risk_score,control_pipeline_ratio,timing_risk_entropy,operator_timing_cell,state_pipeline_cell,complexity_entropy_cell,code_file_path
classic_revolution,Classic,Prob002_adder_16bit,7b425985-c3a4-4c2e-84cf-44c87a9975f3,0,false,0.571429,1.000000,14.000000,0.000000,9.050000,1.000000,0.764205,"2,0","1,0","0,0",/workspace/exp/useful_bd_push/rtllm_milestone_full_20260622_142254_UTC/classic_revolution/seed_1001/openai_gpt-oss-120b/RTLLM/Prob002_adder_16bit/Gen0/Prob002_adder_16bit_sample3_initial/code.sv
classic_revolution,Classic,Prob002_adder_16bit,bdcc6e15-c5e0-4367-be2e-210738d5a1cc,0,true,0.486957,1.000000,114.000000,0.000000,25.400000,1.000000,1.549198,"2,2","1,0","1,2",/workspace/exp/useful_bd_push/rtllm_milestone_full_20260622_142254_UTC/classic_revolution/seed_1001/openai_gpt-oss-120b/RTLLM/Prob002_adder_16bit/Gen0/Prob002_adder_16bit_sample2_initial/code.sv
classic_revolution,Classic,Prob002_adder_16bit,f6eb21eb-bf65-42b0-a27f-2d814dc3c103,0,false,0.427481,1.000000,130.000000,0.000000,19.750000,2.000000,1.708412,"0,1","1,2","2,3",/workspace/exp/useful_bd_push/rtllm_milestone_full_20260622_142254_UTC/classic_revolution/seed_1001/openai_gpt-oss-120b/RTLLM/Prob002_adder_16bit/Gen0/Prob002_adder_16bit_sample1_initial/code.sv
classic_revolution,Classic,Prob002_adder_16bit,3e638802-04ff-4cf3-9fff-ff372de65de2,1,false,0.481203,1.000000,132.000000,0.000000,25.150000,1.000000,0.901716,"1,2","1,0","2,0",/workspace/exp/useful_bd_push/rtllm_milestone_full_20260622_142254_UTC/classic_revolution/seed_1001/openai_gpt-oss-120b/RTLLM/Prob002_adder_16bit/Gen1/Prob002_adder_16bit_sample1_M-E/code.sv
classic_revolution,Classic,Prob002_adder_16bit,e76724e8-68b5-409c-9583-76e3de59d8ac,1,false,0.666667,1.000000,6.000000,0.000000,8.300000,1.000000,1.000000,"3,0","1,0","0,1",/workspace/exp/useful_bd_push/rtllm_milestone_full_20260622_142254_UTC/classic_revolution/seed_1001/openai_gpt-oss-120b/RTLLM/Prob002_adder_16bit/Gen1/Prob002_adder_16bit_sample2_M-S/code.sv
classic_revolution,Classic,Prob002_adder_16bit,192cbecd-e538-4bc4-bd7b-ccfd25e0d059,2,false,0.453608,0.111111,192.000000,0.619382,23.650000,4.000000,1.340439,"0,2","0,3","3,2",/workspace/exp/useful_bd_push/rtllm_milestone_full_20260622_142254_UTC/classic_revolution/seed_1001/openai_gpt-oss-120b/RTLLM/Prob002_adder_16bit/Gen2/Prob002_adder_16bit_sample7_M-E/code.sv
classic_revolution,Classic,Prob002_adder_16bit,646ec94b-5d3e-4bf6-885d-23336c5f56d6,2,false,0.481203,1.000000,132.000000,0.000000,31.750000,1.000000,0.976414,"1,3","1,0","2,0",/workspace/exp/useful_bd_push/rtllm_milestone_full_20260622_142254_UTC/classic_revolution/seed_1001/openai_gpt-oss-120b/RTLLM/Prob002_adder_16bit/Gen2/Prob002_adder_16bit_sample2_M-E/code.sv
classic_revolution,Classic,Prob002_adder_16bit,041f79ee-3b5c-4586-9446-e51bb07b5ffd,3,false,0.448276,0.333333,59.000000,0.228538,19.500000,3.000000,1.880482,"0,1","0,2","0,3",/workspace/exp/useful_bd_push/rtllm_milestone_full_20260622_142254_UTC/classic_revolution/seed_1001/openai_gpt-oss-120b/RTLLM/Prob002_adder_16bit/Gen3/Prob002_adder_16bit_sample1_M-E/code.sv
classic_revolution,Classic,Prob002_adder_16bit,5fbfb358-a185-45d3-9834-76a7cac815ed,3,false,0.490323,1.000000,154.000000,0.000000,44.450000,1.000000,1.272551,"2,3","1,0","3,2",/workspace/exp/useful_bd_push/rtllm_milestone_full_20260622_142254_UTC/classic_revolution/seed_1001/openai_gpt-oss-120b/RTLLM/Prob002_adder_16bit/Gen3/Prob002_adder_16bit_sample7_M-E/code.sv
classic_revolution,Classic,Prob002_adder_16bit,f5f18bce-4b27-4e8b-9846-072df26ef7e1,3,false,0.480132,0.333333,152.000000,0.103844,20.400000,3.000000,1.676945,"1,1","0,2","3,3",/workspace/exp/useful_bd_push/rtllm_milestone_full_20260622_142254_UTC/classic_revolution/seed_1001/openai_gpt-oss-120b/RTLLM/Prob002_adder_16bit/Gen3/Prob002_adder_16bit_sample3_M-E/code.sv
sr_raw_conservative_exploit_qd,Exact T26 QD,Prob002_adder_16bit,05e7b239-9a8f-4c1e-ad1e-d4fa099dcbd5,0,false,0.627451,1.000000,114.000000,0.000000,16.500000,1.000000,1.158939,"3,0","1,0","1,1",/workspace/exp/useful_bd_push/rtllm_milestone_full_20260622_142254_UTC/sr_raw_conservative_exploit_qd/seed_1001/openai_gpt-oss-120b/RTLLM/Prob002_adder_16bit/Gen0/Prob002_adder_16bit_sample9_initial/code.sv
sr_raw_conservative_exploit_qd,Exact T26 QD,Prob002_adder_16bit,227b5ed1-308d-41e8-ba22-09fc0f91d821,0,true,0.486957,1.000000,114.000000,0.000000,17.400000,1.000000,1.406152,"2,1","1,0","1,2",/workspace/exp/useful_bd_push/rtllm_milestone_full_20260622_142254_UTC/sr_raw_conservative_exploit_qd/seed_1001/openai_gpt-oss-120b/RTLLM/Prob002_adder_16bit/Gen0/Prob002_adder_16bit_sample12_initial/code.sv
sr_raw_conservative_exploit_qd,Exact T26 QD,Prob002_adder_16bit,55f0089d-5f21-41ed-b2bc-e134b24ac52b,0,false,0.427481,1.000000,130.000000,0.000000,16.800000,1.000000,1.519839,"0,1","1,0","2,2",/workspace/exp/useful_bd_push/rtllm_milestone_full_20260622_142254_UTC/sr_raw_conservative_exploit_qd/seed_1001/openai_gpt-oss-120b/RTLLM/Prob002_adder_16bit/Gen0/Prob002_adder_16bit_sample4_initial/code.sv
sr_raw_conservative_exploit_qd,Exact T26 QD,Prob002_adder_16bit,5f1cf269-050f-4f16-851c-1c44a9020ed4,0,false,0.571429,1.000000,14.000000,0.000000,9.050000,1.000000,0.764205,"2,0","1,0","0,0",/workspace/exp/useful_bd_push/rtllm_milestone_full_20260622_142254_UTC/sr_raw_conservative_exploit_qd/seed_1001/openai_gpt-oss-120b/RTLLM/Prob002_adder_16bit/Gen0/Prob002_adder_16bit_sample1_initial/code.sv
sr_raw_conservative_exploit_qd,Exact T26 QD,Prob002_adder_16bit,4113930b-91ca-4150-9a92-565beae2c731,1,false,0.479339,1.000000,120.000000,0.000000,31.450000,1.000000,0.976874,"1,3","1,0","1,0",/workspace/exp/useful_bd_push/rtllm_milestone_full_20260622_142254_UTC/sr_raw_conservative_exploit_qd/seed_1001/openai_gpt-oss-120b/RTLLM/Prob002_adder_16bit/Gen1/Prob002_adder_16bit_sample1_M-T/code.sv
sr_raw_conservative_exploit_qd,Exact T26 QD,Prob002_adder_16bit,5e4f2c04-9af1-4928-9e6b-bbb78fe19077,1,false,0.481203,1.000000,132.000000,0.000000,31.750000,1.000000,0.976414,"1,3","1,0","2,0",/workspace/exp/useful_bd_push/rtllm_milestone_full_20260622_142254_UTC/sr_raw_conservative_exploit_qd/seed_1001/openai_gpt-oss-120b/RTLLM/Prob002_adder_16bit/Gen1/Prob002_adder_16bit_sample8_M-E/code.sv
sr_raw_conservative_exploit_qd,Exact T26 QD,Prob002_adder_16bit,e0f85c11-5eda-4b82-af30-956eb14e3755,1,false,0.666667,1.000000,6.000000,0.000000,8.300000,1.000000,1.000000,"3,0","1,0","0,1",/workspace/exp/useful_bd_push/rtllm_milestone_full_20260622_142254_UTC/sr_raw_conservative_exploit_qd/seed_1001/openai_gpt-oss-120b/RTLLM/Prob002_adder_16bit/Gen1/Prob002_adder_16bit_sample7_M-T/code.sv
sr_raw_conservative_exploit_qd,Exact T26 QD,Prob002_adder_16bit,54436487-127a-4393-b040-3783b847f51a,2,false,0.483333,0.333333,151.000000,0.103844,31.450000,3.000000,1.516158,"2,3","0,2","2,2",/workspace/exp/useful_bd_push/rtllm_milestone_full_20260622_142254_UTC/sr_raw_conservative_exploit_qd/seed_1001/openai_gpt-oss-120b/RTLLM/Prob002_adder_16bit/Gen2/Prob002_adder_16bit_sample1_M-E/code.sv
