seed,problem,generation,pre_selection_fail_pool_size,pre_selection_success_pool_size,post_selection_fail_pool_size,post_selection_success_pool_size,generation_outcome
1001,Prob044_ROM,3,0,8,0,8,completed
1001,Prob044_ROM,4,0,8,0,8,completed
1001,Prob044_ROM,5,0,8,0,8,completed
1001,Prob045_alu,1,6,2,4,4,completed
1001,Prob045_alu,2,4,4,1,7,completed
1001,Prob045_alu,3,1,7,0,8,completed
1001,Prob045_alu,4,0,8,0,8,completed
1001,Prob045_alu,5,0,8,0,8,completed
1001,Prob046_clkgenerator,1,8,0,8,0,completed
1001,Prob046_clkgenerator,2,8,0,8,0,completed
1001,Prob046_clkgenerator,3,8,0,8,0,completed
1001,Prob046_clkgenerator,4,8,0,8,0,completed
1001,Prob046_clkgenerator,5,8,0,8,0,completed
1001,Prob047_instr_reg,1,0,8,0,8,completed
1001,Prob047_instr_reg,2,0,8,0,8,completed
1001,Prob047_instr_reg,3,0,8,0,8,completed
1001,Prob047_instr_reg,4,0,8,0,8,completed
1001,Prob047_instr_reg,5,0,8,0,8,completed
1001,Prob048_pe,1,0,8,0,8,completed
1001,Prob048_pe,2,0,8,0,8,completed
1001,Prob048_pe,3,0,8,0,8,completed
1001,Prob048_pe,4,0,8,0,8,completed
1001,Prob048_pe,5,0,8,0,8,completed
1001,Prob049_signal_generator,1,1,7,0,8,completed
1001,Prob049_signal_generator,2,0,8,0,8,completed
1001,Prob049_signal_generator,3,0,8,0,8,completed
1001,Prob049_signal_generator,4,0,8,0,8,completed
1001,Prob049_signal_generator,5,0,8,0,8,completed
1001,Prob050_square_wave,1,0,8,0,8,completed
1001,Prob050_square_wave,2,0,8,0,8,completed
1001,Prob050_square_wave,3,0,8,0,8,completed
1001,Prob050_square_wave,4,0,8,0,8,completed
1001,Prob050_square_wave,5,0,8,0,8,completed
1002,Prob001_accu,1,0,8,0,8,completed
1002,Prob001_accu,2,0,8,0,8,completed
1002,Prob001_accu,3,0,8,0,8,completed
1002,Prob001_accu,4,0,8,0,8,completed
1002,Prob001_accu,5,0,8,0,8,completed
1002,Prob002_adder_16bit,1,0,8,0,8,completed
1002,Prob002_adder_16bit,2,0,8,0,8,completed
1002,Prob002_adder_16bit,3,0,8,0,8,completed
1002,Prob002_adder_16bit,4,0,8,0,8,completed
1002,Prob002_adder_16bit,5,0,8,0,8,completed
1002,Prob003_adder_32bit,1,0,8,0,8,completed
1002,Prob003_adder_32bit,2,0,8,0,8,completed
1002,Prob003_adder_32bit,3,0,8,0,8,completed
1002,Prob003_adder_32bit,4,0,8,0,8,completed
1002,Prob003_adder_32bit,5,0,8,0,8,completed
1002,Prob004_adder_8bit,1,8,0,0,8,completed
1002,Prob004_adder_8bit,2,0,8,0,8,completed
1002,Prob004_adder_8bit,3,0,8,0,8,completed
1002,Prob004_adder_8bit,4,0,8,0,8,completed
1002,Prob004_adder_8bit,5,0,8,0,8,completed
1002,Prob005_adder_bcd,1,0,8,0,8,completed
1002,Prob005_adder_bcd,2,0,8,0,8,completed
1002,Prob005_adder_bcd,3,0,8,0,8,completed
1002,Prob005_adder_bcd,4,0,8,0,8,completed
1002,Prob005_adder_bcd,5,0,8,0,8,completed
1002,Prob006_adder_pipe_64bit,1,8,0,8,0,completed
1002,Prob006_adder_pipe_64bit,2,8,0,8,0,completed
1002,Prob006_adder_pipe_64bit,3,8,0,8,0,completed
1002,Prob006_adder_pipe_64bit,4,8,0,8,0,completed
1002,Prob006_adder_pipe_64bit,5,8,0,8,0,completed
1002,Prob007_comparator_3bit,1,0,8,0,8,completed
1002,Prob007_comparator_3bit,2,0,8,0,8,completed
1002,Prob007_comparator_3bit,3,0,8,0,8,completed
1002,Prob007_comparator_3bit,4,0,8,0,8,completed
1002,Prob007_comparator_3bit,5,0,8,0,8,completed
1002,Prob008_comparator_4bit,1,3,5,0,8,completed
1002,Prob008_comparator_4bit,2,0,8,0,8,completed
1002,Prob008_comparator_4bit,3,0,8,0,8,completed
1002,Prob008_comparator_4bit,4,0,8,0,8,completed
1002,Prob008_comparator_4bit,5,0,8,0,8,completed
1002,Prob009_div_16bit,1,0,8,0,8,completed
1002,Prob009_div_16bit,2,0,8,0,8,completed
1002,Prob009_div_16bit,3,0,8,0,8,completed
1002,Prob009_div_16bit,4,0,8,0,8,completed
1002,Prob009_div_16bit,5,0,8,0,8,completed
1002,Prob010_radix2_div,1,8,0,8,0,completed
1002,Prob010_radix2_div,2,8,0,8,0,completed
1002,Prob010_radix2_div,3,8,0,8,0,completed
1002,Prob010_radix2_div,4,8,0,8,0,completed
1002,Prob010_radix2_div,5,8,0,8,0,completed
1002,Prob011_multi_16bit,1,0,8,0,8,completed
1002,Prob011_multi_16bit,2,0,8,0,8,completed
1002,Prob011_multi_16bit,3,0,8,0,8,completed
1002,Prob011_multi_16bit,4,0,8,0,8,completed
1002,Prob011_multi_16bit,5,0,8,0,8,completed
1002,Prob012_multi_8bit,1,0,8,0,8,completed
1002,Prob012_multi_8bit,2,0,8,0,8,completed
1002,Prob012_multi_8bit,3,0,8,0,8,completed
1002,Prob012_multi_8bit,4,0,8,0,8,completed
1002,Prob012_multi_8bit,5,0,8,0,8,completed
1002,Prob013_multi_booth_8bit,1,8,0,8,0,completed
1002,Prob013_multi_booth_8bit,2,8,0,8,0,completed
1002,Prob013_multi_booth_8bit,3,8,0,8,0,completed
1002,Prob013_multi_booth_8bit,4,8,0,8,0,completed
1002,Prob013_multi_booth_8bit,5,8,0,8,0,completed
1002,Prob014_multi_pipe_4bit,1,8,0,8,0,completed
