seed,problem,metric,classic,treatment,delta,status
1001,Prob038_pulse_detect,final_hypervolume,0.0210287013356067,0.0,-0.0210287013356067,paired
1001,Prob039_serial2parallel,final_hypervolume,0.0,0.0,0.0,paired
1001,Prob041_traffic_light,final_hypervolume,0.2599547930283224,0.28820479302832247,0.028250000000000053,paired
1001,Prob042_width_8to16,final_hypervolume,0.0,0.0,0.0,paired
1001,Prob043_RAM,final_hypervolume,0.10615808653060696,0.09882662026154487,-0.007331466269062087,paired
1001,Prob044_ROM,final_hypervolume,0.0,0.0,0.0,paired
1001,Prob045_alu,final_hypervolume,0.23272165582495563,0.24250070569682636,0.009779049871870726,paired
1001,Prob046_clkgenerator,final_hypervolume,0.0,0.0,0.0,paired
1001,Prob047_instr_reg,final_hypervolume,0.0,0.0,0.0,paired
1001,Prob048_pe,final_hypervolume,0.0,0.0,0.0,paired
1001,Prob049_signal_generator,final_hypervolume,0.006834024329126608,0.014621633448363902,0.007787609119237294,paired
1001,Prob050_square_wave,final_hypervolume,0.00257669656398677,0.005237552084545734,0.0026608555205589637,paired
1001,Prob001_accu,hypervolume_auc,0.0,0.0,0.0,paired
1001,Prob002_adder_16bit,hypervolume_auc,0.205114234284,0.205114234284,0.0,paired
1001,Prob003_adder_32bit,hypervolume_auc,0.674459752503,0.674459752503,0.0,paired
1001,Prob004_adder_8bit,hypervolume_auc,0.135923660262,0.135923660262,0.0,paired
1001,Prob005_adder_bcd,hypervolume_auc,0.198189845475,0.17172769193,-0.026462153544999978,paired
1001,Prob007_comparator_3bit,hypervolume_auc,0.0,0.00583186424417,0.00583186424417,paired
1001,Prob008_comparator_4bit,hypervolume_auc,0.35555030303,0.35555030303,0.0,paired
1001,Prob009_div_16bit,hypervolume_auc,0.710525395335,0.711419101274,0.0008937059389999558,paired
1001,Prob010_radix2_div,hypervolume_auc,0.0,0.0,0.0,paired
1001,Prob011_multi_16bit,hypervolume_auc,0.0019911848587,0.000473759830612,-0.001517425028088,paired
1001,Prob012_multi_8bit,hypervolume_auc,0.347911691184,0.347911691184,0.0,paired
1001,Prob014_multi_pipe_4bit,hypervolume_auc,0.0,0.0,0.0,paired
1001,Prob015_multi_pipe_8bit,hypervolume_auc,0.0,0.0,0.0,paired
1001,Prob016_fixed_point_adder,hypervolume_auc,0.0,0.0,0.0,paired
