method_name,seed,operator_name,candidate_count,valid_ppa_count,valid_ppa_rate,unique_canonical_netlists,occupied_common_audit_cells,best_fitness,mean_fitness
synthesis_trajectory_nod,1002,C-D,161,119,0.7391304347826086,71,13,0.46535233160621764,0.2271619022739706
synthesis_trajectory_nod,1002,C-F,73,32,0.4383561643835616,20,5,0.25646362727407895,0.11847183558639021
synthesis_trajectory_nod,1002,M-E,381,115,0.30183727034120733,83,14,0.6834970284641851,0.14076190707430095
synthesis_trajectory_nod,1002,M-F,282,101,0.35815602836879434,63,10,0.46959128349494317,0.20480530623000043
synthesis_trajectory_nod,1002,M-I,63,26,0.4126984126984127,19,8,0.46535233160621764,0.07207282235394928
synthesis_trajectory_nod,1002,M-R,82,20,0.24390243902439024,14,7,0.46535233160621764,0.1968985901898598
synthesis_trajectory_nod,1002,M-S,64,21,0.328125,16,7,0.46535233160621764,0.12710285627000084
synthesis_trajectory_nod,1002,M-T,80,47,0.5875,36,10,0.46535233160621764,0.21881590140792342
synthesis_trajectory_nod,1002,initial,374,119,0.3181818181818182,58,10,0.46535233160621764,0.15757154351475708
synthesis_trajectory_nod,1003,C-D,125,82,0.656,60,12,0.46535233160621764,0.22649477026840234
synthesis_trajectory_nod,1003,C-F,187,127,0.679144385026738,34,11,0.51996893140381,0.20580118067109082
synthesis_trajectory_nod,1003,M-E,293,100,0.3412969283276451,67,11,0.5845271608799917,0.1878466188347987
synthesis_trajectory_nod,1003,M-F,231,87,0.37662337662337664,61,9,0.5002335522886039,0.23820493097377196
synthesis_trajectory_nod,1003,M-I,114,45,0.39473684210526316,30,9,0.46535233160621764,0.14013355172770653
synthesis_trajectory_nod,1003,M-R,118,34,0.288135593220339,23,8,0.468610906712452,0.1723138690263056
synthesis_trajectory_nod,1003,M-S,107,38,0.35514018691588783,18,7,0.51996893140381,0.16916526502120818
synthesis_trajectory_nod,1003,M-T,63,34,0.5396825396825397,27,8,0.4653419689119171,0.21254589893107348
synthesis_trajectory_nod,1003,initial,322,97,0.30124223602484473,51,11,0.46535233160621764,0.19479618272664043
