feature,count,finite_fraction,unique_count,unique_ratio,nonzero_fraction,min,max,mean,stddev,q25,q75,iqr,normalized_range_coverage,collapsed,near_collapsed
scoap_co_bin_1_pct,283,1.0,44,0.15547703180212014,0.7703180212014135,0.0,0.5454545454545454,0.138489707189748,0.151576729398644,0.005566600397614314,0.25,0.2444333996023857,1.0,False,False
scoap_co_bin_2_pct,283,1.0,44,0.15547703180212014,0.7420494699646644,0.0,0.7017543859649122,0.24302899440679956,0.21719795768335926,0.0,0.3972602739726027,0.3972602739726027,1.0,False,False
scoap_co_bin_3_pct,283,1.0,66,0.2332155477031802,0.9399293286219081,0.0,0.9506172839506173,0.38458269671697465,0.27229946783978864,0.12195121951219512,0.6494391737195582,0.527487954207363,1.0,False,False
scoap_signal_smoothness,283,1.0,79,0.2791519434628975,1.0,0.008129384901513985,0.6822015096079652,0.22262251163635563,0.18713540922626012,0.054755351295317015,0.41724989734487683,0.36249454604955983,1.0,False,False
seq_ratio,283,1.0,45,0.15901060070671377,0.5724381625441696,0.0,0.5,0.1355797621994958,0.14605337411650468,0.0,0.1844319775596073,0.1844319775596073,1.0,False,False
sequential_cells,283,1.0,17,0.06007067137809187,0.5724381625441696,0.0,263.0,22.823321554770317,66.7416612776309,0.0,7.0,7.0,1.0,False,False
share_family_inv,283,1.0,28,0.0989399293286219,0.42402826855123676,0.0,0.5,0.09641998542159344,0.1483945592028204,0.0,0.19375,0.19375,1.0,False,False
shift_op_count,283,1.0,3,0.01060070671378092,0.045936395759717315,0.0,6.0,0.24028268551236748,1.1613029988212522,0.0,0.0,0.0,1.0,False,False
sog_complexity_score,283,1.0,57,0.20141342756183744,1.0,3.0,3234.0,222.59010600706713,726.227510741599,13.0,54.0,41.0,1.0,False,False
sog_entropy,283,1.0,56,0.1978798586572438,0.6395759717314488,0.0,2.186278124459133,1.1321753673274846,0.904769695157397,0.0,1.9044006896477674,1.9044006896477674,1.0,False,False
state_control_ratio,283,1.0,38,0.13427561837455831,1.0,0.03225806451612903,4.0,0.7230223678447735,0.6368494313242946,0.2,1.0,0.8,1.0,False,False
ternary_count,283,1.0,8,0.028268551236749116,0.15547703180212014,0.0,9.0,0.5795053003533569,1.5374720322568167,0.0,0.0,0.0,1.0,False,False
timing_risk_entropy,283,1.0,99,0.3498233215547703,1.0,0.7382848661434506,2.266207194199314,1.5326608381780418,0.3835236376082296,1.3709505944546687,1.8048956511448035,0.43394505669013483,1.0,False,False
timing_risk_score,283,1.0,94,0.3321554770318021,1.0,2.3,101.25,21.404770318021203,12.942766245749883,14.75,25.35,10.600000000000001,1.0,False,False
total_cells,283,1.0,56,0.1978798586572438,1.0,2.0,2305.0,186.28975265017667,450.41036742316555,5.0,34.0,29.0,1.0,False,False
unique_identifier_count,283,1.0,34,0.12014134275618374,1.0,3.0,58.0,15.522968197879859,10.918684460215196,7.0,22.5,15.5,1.0,False,False
utilization,283,1.0,1,0.0035335689045936395,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,True,True
wire_cell_ratio_est,283,1.0,60,0.21201413427561838,1.0,1.0,2.0,1.2601133972420646,0.20283596857628425,1.1578947368421053,1.2437733499377335,0.08587861309562816,1.0,False,False
wire_count_log_est,283,1.0,59,0.20848056537102475,1.0,1.6094379124341003,7.852050207265889,3.5414147481640432,1.6702319364045186,1.9459101490553132,3.7376696182833684,1.7917594692280552,1.0,False,False
