benchmark,best_child_quality,best_quality_delta,child_edge_count,mean_child_quality,mean_quality_delta,method_name,new_cell_child_count,parent_found,parent_id,positive_quality_delta_count,problem,seed_dir,source_table
RTLLM,0.426757443718228,0.06100459937061237,3,0.35337206487533274,-0.012380779472282824,landing_smooth_qd_manual_bd,3,True,9bb91bb0-9f21-420e-b072-d023031607c7,2,Prob041_traffic_light,seed_1001,archive_cells.csv
RTLLM,0.4077420721374969,-0.019015371580731077,6,0.3238639756314048,-0.10289346808682324,landing_smooth_qd_manual_bd,5,True,a11fe259-2a37-4be7-8dfa-b2fb878ef83e,0,Prob041_traffic_light,seed_1001,archive_cells.csv
RTLLM,0.2818445896877269,-0.001670297748729177,1,0.2818445896877269,-0.001670297748729177,landing_smooth_qd_manual_bd,1,True,bc0273e9-fc5c-4ae1-9176-11a3c90a255e,0,Prob041_traffic_light,seed_1001,archive_cells.csv
RTLLM,0.131517792302106,,2,0.0222645848462842,,landing_smooth_qd_manual_bd,0,False,eb33f81f-edcf-4498-8aa1-dec7722ef378,0,Prob041_traffic_light,seed_1001,archive_cells.csv
RTLLM,0.426757443718228,0.005882352941176505,1,0.426757443718228,0.005882352941176505,landing_smooth_qd_manual_bd,0,True,ecd1690e-7627-40f4-badd-a53cf680879b,1,Prob041_traffic_light,seed_1001,archive_cells.csv
RTLLM,0.3893026151521124,-0.00034486497141728023,3,0.3847400070087828,-0.004907473114746856,landing_smooth_qd_manual_bd,3,True,3079f6cf-be41-4e13-a85e-496a8d61c676,0,Prob045_alu,seed_1001,archive_cells.csv
RTLLM,0.3811666338129969,0.0009281161705763097,3,0.3771728322053573,-0.003065685437063296,landing_smooth_qd_manual_bd,3,True,341d0779-bbdf-4ce4-9e49-71b67f9d1487,1,Prob045_alu,seed_1001,archive_cells.csv
RTLLM,0.3880485577238977,-0.0010581509954663004,2,0.3821228727248833,-0.006983835994480686,landing_smooth_qd_manual_bd,1,True,44ffc774-1fd8-4626-8b3f-fa3fecdcdc1d,0,Prob045_alu,seed_1001,archive_cells.csv
RTLLM,0.3836016492542217,-0.0057009658978907085,1,0.3836016492542217,-0.0057009658978907085,landing_smooth_qd_manual_bd,1,True,4ba965e8-0baa-49c6-bac8-e8af4a7cddf2,0,Prob045_alu,seed_1001,archive_cells.csv
RTLLM,0.4059084368223931,0.004412510677442694,3,0.38855693540968533,-0.012938990735265091,landing_smooth_qd_manual_bd,2,True,54be27eb-4206-48d4-bda0-e1d5d246fca3,1,Prob045_alu,seed_1001,archive_cells.csv
RTLLM,0.3893026151521124,0.01795791444904382,4,0.3794927639792364,0.00814806327616785,landing_smooth_qd_manual_bd,3,True,56c209a6-d2d8-4bca-97ff-cd43b674c19b,3,Prob045_alu,seed_1001,archive_cells.csv
RTLLM,0.3965104803206518,0.007207865168539385,2,0.3928085945200079,0.0035059793678954843,landing_smooth_qd_manual_bd,2,True,60cbf6f0-87e5-4809-91bb-8cd377a93a39,1,Prob045_alu,seed_1001,archive_cells.csv
RTLLM,0.4110166896642355,0.001827682502135497,14,0.390358837167826,-0.01883016999427409,landing_smooth_qd_manual_bd,12,True,753bcde8-58e8-4408-afae-bcb04b87d25f,1,Prob045_alu,seed_1001,archive_cells.csv
RTLLM,0.3917484723043564,0.014590314738156307,3,0.37944192566309654,0.0022837680968964547,landing_smooth_qd_manual_bd,2,True,7cf93863-67f8-4c7c-98b0-c212d116e03a,1,Prob045_alu,seed_1001,archive_cells.csv
RTLLM,0.4091890071621,0.013939976345357818,9,0.38677395580086293,-0.008475075015879272,landing_smooth_qd_manual_bd,8,True,81776a77-5d0c-4be7-9527-623521c5c8e6,1,Prob045_alu,seed_1001,archive_cells.csv
RTLLM,0.3829972402917406,0.0018306064787436682,1,0.3829972402917406,0.0018306064787436682,landing_smooth_qd_manual_bd,0,True,9a7e007e-dd64-4734-97c8-d8437c7f9aea,1,Prob045_alu,seed_1001,archive_cells.csv
