feature,eligible,predictive_score,diversity_score,stability_score,composite_score,collapsed_in_backend_count,finite_fraction,normalized_range_coverage,unique_ratio
scoap_co_bin_3_pct,False,0.39727712173199703,0.6470847797556206,0.524074074074074,0.5100691925086807,1,0.524074074074074,1.0,0.2332155477031802
rent_confidence,False,0.404674084744582,0.6134790761479488,0.524074074074074,0.5016358296016588,1,0.524074074074074,1.0,0.3003533568904594
rent_clamped_flag,False,0.35187040644086565,0.6690223792697291,0.524074074074074,0.49731433045760953,1,0.524074074074074,1.0,0.007067137809187279
arithmetic_cells,False,0.339313687396716,0.6808009422850412,0.524074074074074,0.4957863039431014,1,0.524074074074074,1.0,0.04240282685512368
ast_depth_est,False,0.472049148746734,0.5032958525377363,0.524074074074074,0.49339048013905284,1,0.524074074074074,1.0,0.06713780918727916
adder_ratio,False,0.3015286535347259,0.7220259128386336,0.524074074074074,0.49321177839896324,1,0.524074074074074,1.0,0.16607773851590105
scoap_cc1_bin_1_pct,False,0.3795562211791532,0.6163327352179042,0.524074074074074,0.4913315716717002,1,0.524074074074074,1.0,0.24028268551236748
wire_count_log_est,False,0.41950369619468464,0.5600363373200588,0.524074074074074,0.48960419616444345,1,0.524074074074074,1.0,0.20848056537102475
scoap_cc1_bin_2_pct,False,0.3820884314061843,0.6008134582845036,0.524074074074074,0.48703931934717404,1,0.524074074074074,1.0,0.1978798586572438
fsm_state_count_est,False,0.3231847091777957,0.6725559481743227,0.524074074074074,0.48564251580583584,1,0.524074074074074,1.0,0.0176678445229682
laplacian_lambda2,False,0.26396784960557107,0.7479387514723204,0.524074074074074,0.4853789101526339,1,0.524074074074074,1.0,0.24381625441696114
state_control_ratio,False,0.3229812552748882,0.6716970961092303,0.524074074074074,0.4852503633267451,1,0.524074074074074,1.0,0.13427561837455831
mul_count,False,0.3231861883439816,0.6702002355712603,0.524074074074074,0.48481868201954764,1,0.524074074074074,1.0,0.01060070671378092
edge_per_node,False,0.41863898269927335,0.5412119727339939,0.524074074074074,0.48262654748638567,1,0.524074074074074,1.0,0.21201413427561838
share_family_inv,False,0.29283145703922575,0.6996466431095406,0.524074074074074,0.48146529557080564,1,0.524074074074074,1.0,0.0989399293286219
total_cells,False,0.259053731202788,0.7326266195524146,0.524074074074074,0.4778083106994145,1,0.524074074074074,1.0,0.1978798586572438
scoap_cc0_bin_1_pct,False,0.3566051704117109,0.604516936113784,0.524074074074074,0.4768680691399091,1,0.524074074074074,1.0,0.24028268551236748
scoap_cc0_bin_3_pct,False,0.2510568160635399,0.7314487632508834,0.524074074074074,0.47379744918121697,1,0.524074074074074,1.0,0.19434628975265017
ternary_count,False,0.28233027275986117,0.6760895170789164,0.524074074074074,0.4684947685343731,1,0.524074074074074,1.0,0.028268551236749116
rent_retained_sample_ratio,False,0.4411569583651786,0.46459476434282304,0.524074074074074,0.4659436135991332,1,0.524074074074074,1.0,0.10954063604240283
arith_count,False,0.2702018456821965,0.67962308598351,0.524074074074074,0.46427372546603174,1,0.524074074074074,1.0,0.038869257950530034
for_count,False,0.2715455926445624,0.673733804475854,0.524074074074074,0.46281716307141674,1,0.524074074074074,1.0,0.02120141342756184
case_count,False,0.2669376073822322,0.6702002355712603,0.524074074074074,0.4595068205867604,1,0.524074074074074,1.0,0.01060070671378092
scoap_cc1_bin_3_pct,False,0.21282749186767738,0.7326266195524146,0.524074074074074,0.45700650299861467,1,0.524074074074074,1.0,0.1978798586572438
hyper_sink_net_count,False,0.19501141196930558,0.740871613663133,0.524074074074074,0.45187501498309884,1,0.524074074074074,1.0,0.2226148409893993
hyper_driven_net_count,False,0.1913543479642126,0.7396937573616018,0.524074074074074,0.44981708647527113,1,0.524074074074074,1.0,0.21908127208480566
hyper_net_count,False,0.1913543479642126,0.7396937573616018,0.524074074074074,0.44981708647527113,1,0.524074074074074,1.0,0.21908127208480566
sog_complexity_score,False,0.17510578614257602,0.7338044758539458,0.524074074074074,0.44044398512785504,1,0.524074074074074,1.0,0.20141342756183744
scoap_co_bin_1_pct,False,0.17850585252694254,0.7184923439340402,0.524074074074074,0.436614768828853,1,0.524074074074074,1.0,0.15547703180212014
reconv_source_ratio,False,0.2690106749070631,0.5904563255883647,0.524074074074074,0.43252933247892084,1,0.524074074074074,1.0,0.05653710247349823
combinational_cells,False,0.16234181023460714,0.7208480565371024,0.524074074074074,0.4301654492083738,1,0.524074074074074,1.0,0.1625441696113074
max_identifier_fanout,False,0.3011541662922551,0.5406289491716393,0.524074074074074,0.42955432185640335,1,0.524074074074074,1.0,0.08833922261484099
hyper_directed_edge_count,False,0.13970142787134568,0.7314487632508834,0.524074074074074,0.4236875244947296,1,0.524074074074074,1.0,0.19434628975265017
cell_count_log,False,0.259053731202788,0.5675609166906851,0.524074074074074,0.4200353146978092,1,0.524074074074074,1.0,0.1978798586572438
shift_op_count,False,0.1629921888438778,0.6702002355712603,0.524074074074074,0.4127313822445009,1,0.524074074074074,1.0,0.01060070671378092
