backend,benchmark,problem,objective_count,candidate_count,pareto_point_count,hypervolume,reference_beating_count,best_area_improvement,best_power_improvement,best_period_improvement,problem_dir
smooth_qd_v2,RTLLM,Prob025_sequence_detector,3,4,1,0.0,0,0.34210526315789475,0.41752577319587636,-0.10526315789473693,/workspace/exp/natural_qd_push/p3_v2_full_rtllm_20260703_101258_UTC/live/smooth_qd_v2_8x5/seed_1004/openai_gpt-oss-120b/RTLLM/Prob025_sequence_detector
classic,RTLLM,Prob026_asyn_fifo,2,0,0,0.0,0,0.0,0.0,0.0,/workspace/exp/useful_bd_push/pcn_v3_experiments_20260701/live/rtllm_full_5seed/classic_revolution_8x5/seed_1004/openai_gpt-oss-120b/RTLLM/Prob026_asyn_fifo
S07_capacity3,RTLLM,Prob026_asyn_fifo,2,0,0,0.0,0,0.0,0.0,0.0,/workspace/exp/natural_qd_push/suite_variants_wave_b_20260709_225719_UTC/live/capacity3/seed_1004/openai_gpt-oss-120b/RTLLM/Prob026_asyn_fifo
smooth_qd_v2,RTLLM,Prob026_asyn_fifo,2,0,0,0.0,0,0.0,0.0,0.0,/workspace/exp/natural_qd_push/p3_v2_full_rtllm_20260703_101258_UTC/live/smooth_qd_v2_8x5/seed_1004/openai_gpt-oss-120b/RTLLM/Prob026_asyn_fifo
classic,RTLLM,Prob027_LIFObuffer,3,27,6,0.01494752616630635,9,0.29431438127090304,0.40811455847255373,0.1794871794871795,/workspace/exp/useful_bd_push/pcn_v3_experiments_20260701/live/rtllm_full_5seed/classic_revolution_8x5/seed_1004/openai_gpt-oss-120b/RTLLM/Prob027_LIFObuffer
S07_capacity3,RTLLM,Prob027_LIFObuffer,3,23,4,0.0220157393870886,7,0.2709030100334448,0.39618138424821003,0.23076923076923084,/workspace/exp/natural_qd_push/suite_variants_wave_b_20260709_225719_UTC/live/capacity3/seed_1004/openai_gpt-oss-120b/RTLLM/Prob027_LIFObuffer
smooth_qd_v2,RTLLM,Prob027_LIFObuffer,3,27,6,0.01628073424275562,8,0.27759197324414714,0.4343675417661098,0.1794871794871795,/workspace/exp/natural_qd_push/p3_v2_full_rtllm_20260703_101258_UTC/live/smooth_qd_v2_8x5/seed_1004/openai_gpt-oss-120b/RTLLM/Prob027_LIFObuffer
classic,RTLLM,Prob028_LFSR,3,0,0,0.0,0,0.0,0.0,0.0,/workspace/exp/useful_bd_push/pcn_v3_experiments_20260701/live/rtllm_full_5seed/classic_revolution_8x5/seed_1004/openai_gpt-oss-120b/RTLLM/Prob028_LFSR
S07_capacity3,RTLLM,Prob028_LFSR,3,0,0,0.0,0,0.0,0.0,0.0,/workspace/exp/natural_qd_push/suite_variants_wave_b_20260709_225719_UTC/live/capacity3/seed_1004/openai_gpt-oss-120b/RTLLM/Prob028_LFSR
smooth_qd_v2,RTLLM,Prob028_LFSR,3,0,0,0.0,0,0.0,0.0,0.0,/workspace/exp/natural_qd_push/p3_v2_full_rtllm_20260703_101258_UTC/live/smooth_qd_v2_8x5/seed_1004/openai_gpt-oss-120b/RTLLM/Prob028_LFSR
classic,RTLLM,Prob029_barrel_shifter,2,0,0,0.0,0,0.0,0.0,0.0,/workspace/exp/useful_bd_push/pcn_v3_experiments_20260701/live/rtllm_full_5seed/classic_revolution_8x5/seed_1004/openai_gpt-oss-120b/RTLLM/Prob029_barrel_shifter
S07_capacity3,RTLLM,Prob029_barrel_shifter,2,2,1,0.11956768837803321,2,0.1206896551724138,0.9907037037037036,0.0,/workspace/exp/natural_qd_push/suite_variants_wave_b_20260709_225719_UTC/live/capacity3/seed_1004/openai_gpt-oss-120b/RTLLM/Prob029_barrel_shifter
smooth_qd_v2,RTLLM,Prob029_barrel_shifter,2,1,1,0.11956768837803321,1,0.1206896551724138,0.9907037037037036,0.0,/workspace/exp/natural_qd_push/p3_v2_full_rtllm_20260703_101258_UTC/live/smooth_qd_v2_8x5/seed_1004/openai_gpt-oss-120b/RTLLM/Prob029_barrel_shifter
classic,RTLLM,Prob030_right_shifter,3,2,1,0.0,0,0.0,0.0,0.0,/workspace/exp/useful_bd_push/pcn_v3_experiments_20260701/live/rtllm_full_5seed/classic_revolution_8x5/seed_1004/openai_gpt-oss-120b/RTLLM/Prob030_right_shifter
