method_name,problem_id,retention_mode,source_valid_ppa,retained_candidate_count,retained_fraction,occupied_cells,mean_front_size,max_front_size,hypervolume,global_pareto_point_count,best_fitness,ppa_grid_occupied_cells,ppa_grid_total_cells,ppa_grid_coverage,unique_canonical_netlist_count,duplicate_netlist_count,unique_motif_signature_count,ppa_front_unique_netlist_count
landing_smooth_qd_manual_bd,VerilogEval-Spec-to-RTL/Prob030_popcount255,scalar_cell_elite,45,1,0.022222222222222223,1,1.0,1,0.0,1,0.28511627906976744,1,16,0.0625,1,0,1,1
landing_smooth_qd_manual_bd,VerilogEval-Spec-to-RTL/Prob030_popcount255,bounded_local_pareto,45,1,0.022222222222222223,1,1.0,1,0.0,1,0.28511627906976744,1,16,0.0625,1,0,1,1
landing_smooth_qd_manual_bd,VerilogEval-Spec-to-RTL/Prob105_rotate100,scalar_cell_elite,40,1,0.025,1,1.0,1,0.0,1,0.04155040525406675,1,64,0.015625,1,0,1,1
landing_smooth_qd_manual_bd,VerilogEval-Spec-to-RTL/Prob105_rotate100,bounded_local_pareto,40,4,0.1,1,4.0,4,0.0,4,0.04155040525406675,1,64,0.015625,2,2,1,2
random_descriptor_qd,RTLLM/Prob011_multi_16bit,scalar_cell_elite,32,1,0.03125,1,1.0,1,0.026803539019963695,1,0.3643308942855222,1,64,0.015625,1,0,1,1
random_descriptor_qd,RTLLM/Prob011_multi_16bit,bounded_local_pareto,32,1,0.03125,1,1.0,1,0.026803539019963695,1,0.3643308942855222,1,64,0.015625,1,0,1,1
random_descriptor_qd,RTLLM/Prob019_sub_64bit,scalar_cell_elite,36,2,0.05555555555555555,2,1.0,1,0.3628333958694871,1,0.452712179958205,2,16,0.125,2,0,2,1
random_descriptor_qd,RTLLM/Prob019_sub_64bit,bounded_local_pareto,36,2,0.05555555555555555,2,1.0,1,0.3628333958694871,1,0.452712179958205,2,16,0.125,2,0,2,1
random_descriptor_qd,RTLLM/Prob048_pe,scalar_cell_elite,25,1,0.04,1,1.0,1,0.0,1,0.006579168080201192,1,64,0.015625,1,0,1,1
random_descriptor_qd,RTLLM/Prob048_pe,bounded_local_pareto,25,4,0.16,1,4.0,4,0.0,4,0.006579168080201192,1,64,0.015625,4,0,3,4
random_descriptor_qd,VerilogEval-Spec-to-RTL/Prob021_mux256to1v,scalar_cell_elite,39,1,0.02564102564102564,1,1.0,1,0.3148917197452229,1,0.43702052370842176,1,16,0.0625,1,0,1,1
random_descriptor_qd,VerilogEval-Spec-to-RTL/Prob021_mux256to1v,bounded_local_pareto,39,4,0.10256410256410256,1,4.0,4,0.3153388909704009,4,0.43702052370842176,1,16,0.0625,2,2,2,2
random_descriptor_qd,VerilogEval-Spec-to-RTL/Prob030_popcount255,scalar_cell_elite,37,1,0.02702702702702703,1,1.0,1,0.0,1,0.2849612403100775,1,16,0.0625,1,0,1,1
