feature,eligible,predictive_score,diversity_score,stability_score,composite_score,collapsed_in_backend_count,finite_fraction,normalized_range_coverage,unique_ratio
fsm_state_count_est,True,0.2797740917542533,0.6731517509727626,1.0,0.5615014541298808,0,1.0,1.0,0.019455252918287938
adder_ratio,True,0.23037680970637378,0.7341115434500649,1.0,0.5606086045753909,0,1.0,1.0,0.20233463035019456
scoap_cc0_bin_3_pct,True,0.2238615078387797,0.7380025940337225,1.0,0.5590385864392537,0,1.0,1.0,0.2140077821011673
share_family_inv,True,0.25391369515398043,0.6964980544747083,1.0,0.5580354818854392,0,1.0,1.0,0.08949416342412451
rent_retained_sample_ratio,True,0.42755472355100604,0.4720133012652716,1.0,0.5576042810407977,0,1.0,1.0,0.13618677042801555
max_identifier_fanout,True,0.36548346050030006,0.5495575956301423,1.0,0.5568127156956848,0,1.0,1.0,0.0933852140077821
edge_per_node,True,0.3664514422981806,0.5451179825073852,1.0,0.5556944429117661,0,1.0,1.0,0.22957198443579765
reconv_source_ratio,True,0.32143786343424974,0.5981537521684485,1.0,0.5540008518043693,0,1.0,1.0,0.0622568093385214
math_op_ast_count,True,0.25551766636716605,0.675745784695201,1.0,0.551493974508545,0,1.0,1.0,0.027237354085603113
combinational_cells,True,0.21414307305073965,0.7198443579766537,1.0,0.5483099081646616,0,1.0,1.0,0.15953307392996108
wire_count_log_est,True,0.32526436741525694,0.5734832550584515,1.0,0.5470881046073237,0,1.0,1.0,0.2529182879377432
scoap_cc1_bin_1_pct,True,0.2815353778283731,0.6230653267816212,1.0,0.5447637843963353,0,1.0,1.0,0.26848249027237353
for_count,True,0.23874778339763175,0.6744487678339818,1.0,0.543493571270828,0,1.0,1.0,0.023346303501945526
total_cells,True,0.17642179133524283,0.748378728923476,1.0,0.5413223612240758,0,1.0,1.0,0.245136186770428
scoap_cc0_bin_0_pct,True,0.2677029963106069,0.6131646048316496,1.0,0.5350739600308505,0,1.0,1.0,0.24124513618677043
scoap_cc1_bin_3_pct,True,0.162820232137965,0.7392996108949417,1.0,0.5320239682753138,0,1.0,1.0,0.2178988326848249
case_count,True,0.21475373433812142,0.6705577172503242,1.0,0.5313343814897682,0,1.0,1.0,0.011673151750972763
state_control_ratio,True,0.19309930751472512,0.6920254901937994,1.0,0.5291036099494562,0,1.0,1.0,0.1556420233463035
hyper_sink_net_count,True,0.14918125058562964,0.74189364461738,1.0,0.5267943383796163,0,1.0,1.0,0.22568093385214008
hyper_driven_net_count,True,0.14799528456650007,0.7431906614785992,1.0,0.5267146095724349,0,1.0,1.0,0.22957198443579765
hyper_net_count,True,0.14799528456650007,0.7431906614785992,1.0,0.5267146095724349,0,1.0,1.0,0.22957198443579765
scoap_cc1_bin_0_pct,True,0.246081568747024,0.6121925156165339,1.0,0.5250040864019476,0,1.0,1.0,0.23735408560311283
hyper_cell_count,True,0.13768348864384555,0.7224383916990921,1.0,0.5148110069844127,0,1.0,1.0,0.16731517509727625
rent_graph_node_count,True,0.13768348864384555,0.7224383916990921,1.0,0.5148110069844127,0,1.0,1.0,0.16731517509727625
shift_op_count,True,0.1758534425253467,0.6718547341115434,1.0,0.5142832060754462,0,1.0,1.0,0.01556420233463035
scoap_co_bin_1_pct,True,0.1363937388399107,0.7185473411154345,1.0,0.5128687518683619,0,1.0,1.0,0.1556420233463035
arith_count,True,0.1627379864733003,0.6835278858625161,1.0,0.5124668539648658,0,1.0,1.0,0.05058365758754864
timing_risk_score,True,0.1362947894809876,0.6881132026228607,1.0,0.5021722761844456,0,1.0,1.0,0.38910505836575876
hyper_mean_fanout,True,0.24754898775276177,0.5320213799421526,1.0,0.4976045274684962,0,1.0,1.0,0.2607003891050584
comb_width_log,True,0.21414307305073965,0.5563555713570039,1.0,0.4910888328477842,0,1.0,1.0,0.15953307392996108
logic_depth_ltp_delta,True,0.11651331982067528,0.669260700389105,1.0,0.4866722390554906,0,1.0,1.0,0.007782101167315175
hyper_directed_edge_count,True,0.06326821536300847,0.7354085603112841,1.0,0.48586369302230326,0,1.0,1.0,0.20622568093385213
sog_complexity_score,True,0.05934132958558125,0.7354085603112841,1.0,0.484096594422461,0,1.0,1.0,0.20622568093385213
rent_raw_sample_count,True,0.07286692517361128,0.7146562905317769,1.0,0.482919818014247,0,1.0,1.0,0.14396887159533073
cell_count_log,True,0.17642179133524283,0.5815054273991903,1.0,0.4829167056905759,0,1.0,1.0,0.245136186770428
rent_sample_count,True,0.06799899347978003,0.7107652399481194,1.0,0.4793673810477428,0,1.0,1.0,0.13229571984435798
laplacian_spectral_entropy,True,0.20568199672396334,0.5134489974753365,1.0,0.4722640476421513,0,1.0,1.0,0.2801556420233463
hyper_fanout_entropy,True,0.15261479877621106,0.5338739977491547,1.0,0.4555325586614991,0,1.0,1.0,0.26459143968871596
log_net_count,True,0.14799528456650007,0.5387319982851348,1.0,0.4551540774547222,0,1.0,1.0,0.22957198443579765
log_node_count,True,0.13768348864384555,0.5439200166250421,1.0,0.45232957570849525,0,1.0,1.0,0.16731517509727625
log_edge_count,True,0.06326821536300847,0.5739578522104609,1.0,0.42935594518701514,0,1.0,1.0,0.20622568093385213
ltp_noff,False,0.0,0.0012970168612191958,1.0,0.20045395590142673,1,1.0,0.0,0.0038910505836575876
rtl_instance_count_est,False,0.0,0.0012970168612191958,1.0,0.20045395590142673,1,1.0,0.0,0.0038910505836575876
utilization,False,0.0,0.0012970168612191958,1.0,0.20045395590142673,1,1.0,0.0,0.0038910505836575876
