benchmark,best_fitness,budget_fraction,candidate_count,corpus,descriptor_family,funnel,mean_fitness,method,model,pareto_member_count,prefix_candidate_count,problem_id,seed,unique_canonical_netlists,unique_motif_signatures,unique_style_clusters
RTLLM,0.33143146034955945,0.75,158,aspdac2026_release,lexical_structural_posthoc,generated,0.08136375126390298,classic_revolution,deepseek-chat,47,158,aspdac2026/deepseek_clean_results/RTLLM/Prob004_adder_8bit,0,0,0,5
RTLLM,0.33143146034955945,0.75,112,aspdac2026_release,lexical_structural_posthoc,functional,0.08136375126390298,classic_revolution,deepseek-chat,47,158,aspdac2026/deepseek_clean_results/RTLLM/Prob004_adder_8bit,0,0,0,4
RTLLM,0.33143146034955945,0.75,112,aspdac2026_release,lexical_structural_posthoc,synthesis_valid,0.08136375126390298,classic_revolution,deepseek-chat,47,158,aspdac2026/deepseek_clean_results/RTLLM/Prob004_adder_8bit,0,0,0,4
RTLLM,0.33143146034955945,0.75,112,aspdac2026_release,lexical_structural_posthoc,valid_ppa,0.08136375126390298,classic_revolution,deepseek-chat,47,158,aspdac2026/deepseek_clean_results/RTLLM/Prob004_adder_8bit,0,0,0,4
RTLLM,0.33143146034955945,0.75,47,aspdac2026_release,lexical_structural_posthoc,pareto_front,0.33143146034955956,classic_revolution,deepseek-chat,47,158,aspdac2026/deepseek_clean_results/RTLLM/Prob004_adder_8bit,0,0,0,2
RTLLM,0.33143146034955945,1.0,210,aspdac2026_release,lexical_structural_posthoc,generated,0.1113199868887433,classic_revolution,deepseek-chat,75,210,aspdac2026/deepseek_clean_results/RTLLM/Prob004_adder_8bit,0,0,0,5
RTLLM,0.33143146034955945,1.0,156,aspdac2026_release,lexical_structural_posthoc,functional,0.1113199868887433,classic_revolution,deepseek-chat,75,210,aspdac2026/deepseek_clean_results/RTLLM/Prob004_adder_8bit,0,0,0,4
RTLLM,0.33143146034955945,1.0,156,aspdac2026_release,lexical_structural_posthoc,synthesis_valid,0.1113199868887433,classic_revolution,deepseek-chat,75,210,aspdac2026/deepseek_clean_results/RTLLM/Prob004_adder_8bit,0,0,0,4
RTLLM,0.33143146034955945,1.0,156,aspdac2026_release,lexical_structural_posthoc,valid_ppa,0.1113199868887433,classic_revolution,deepseek-chat,75,210,aspdac2026/deepseek_clean_results/RTLLM/Prob004_adder_8bit,0,0,0,4
RTLLM,0.33143146034955945,1.0,75,aspdac2026_release,lexical_structural_posthoc,pareto_front,0.33143146034955956,classic_revolution,deepseek-chat,75,210,aspdac2026/deepseek_clean_results/RTLLM/Prob004_adder_8bit,0,0,0,3
RTLLM,0.21265636497424578,0.25,53,aspdac2026_release,lexical_structural_posthoc,generated,-0.08203254026653585,classic_revolution,deepseek-chat,1,53,aspdac2026/deepseek_clean_results/RTLLM/Prob005_adder_bcd,0,0,0,5
RTLLM,0.21265636497424578,0.25,45,aspdac2026_release,lexical_structural_posthoc,functional,-0.08203254026653585,classic_revolution,deepseek-chat,1,53,aspdac2026/deepseek_clean_results/RTLLM/Prob005_adder_bcd,0,0,0,4
RTLLM,0.21265636497424578,0.25,45,aspdac2026_release,lexical_structural_posthoc,synthesis_valid,-0.08203254026653585,classic_revolution,deepseek-chat,1,53,aspdac2026/deepseek_clean_results/RTLLM/Prob005_adder_bcd,0,0,0,4
RTLLM,0.21265636497424578,0.25,45,aspdac2026_release,lexical_structural_posthoc,valid_ppa,-0.08203254026653585,classic_revolution,deepseek-chat,1,53,aspdac2026/deepseek_clean_results/RTLLM/Prob005_adder_bcd,0,0,0,4
RTLLM,0.21265636497424578,0.25,1,aspdac2026_release,lexical_structural_posthoc,pareto_front,0.21265636497424578,classic_revolution,deepseek-chat,1,53,aspdac2026/deepseek_clean_results/RTLLM/Prob005_adder_bcd,0,0,0,1
RTLLM,0.21265636497424578,0.5,105,aspdac2026_release,lexical_structural_posthoc,generated,-0.08917245463845365,classic_revolution,deepseek-chat,3,105,aspdac2026/deepseek_clean_results/RTLLM/Prob005_adder_bcd,0,0,0,6
