budget_fraction,corpus,descriptor_family,funnel,mean_best_fitness,mean_candidate_count,mean_canonical_netlists,mean_motif_signatures,mean_pareto_members,mean_style_clusters,method,problem_group_count,total_candidate_count
0.75,aspdac2026_release,lexical_structural_posthoc,valid_ppa,0.18521950369021387,81.41383495145631,0.0,0.0,36.689320388349515,2.0800970873786406,classic_revolution,824,67085
1.0,aspdac2026_release,lexical_structural_posthoc,functional,0.20688284843056837,109.29368932038835,0.0,0.0,50.49635922330097,2.200242718446602,classic_revolution,824,90058
1.0,aspdac2026_release,lexical_structural_posthoc,generated,0.20688284843056837,206.46966019417476,0.0,0.0,50.49635922330097,3.1966019417475726,classic_revolution,824,170131
1.0,aspdac2026_release,lexical_structural_posthoc,pareto_front,0.20688284843056837,50.49635922330097,0.0,0.0,50.49635922330097,1.5825242718446602,classic_revolution,824,41609
1.0,aspdac2026_release,lexical_structural_posthoc,synthesis_valid,0.20688284843056837,109.29368932038835,0.0,0.0,50.49635922330097,2.200242718446602,classic_revolution,824,90058
1.0,aspdac2026_release,lexical_structural_posthoc,valid_ppa,0.20688284843056837,109.29368932038835,0.0,0.0,50.49635922330097,2.200242718446602,classic_revolution,824,90058
0.25,auto_bd_standard_results,classic_revolution,functional,0.21039216322100096,9.820512820512821,5.410256410256411,3.8974358974358974,9.820512820512821,0.9487179487179487,classic_revolution,39,383
0.25,auto_bd_standard_results,classic_revolution,generated,0.21039216322100096,30.0,5.410256410256411,3.8974358974358974,9.820512820512821,1.0,classic_revolution,39,1170
0.25,auto_bd_standard_results,classic_revolution,pareto_front,0.21039216322100096,9.820512820512821,5.410256410256411,3.8974358974358974,9.820512820512821,0.9487179487179487,classic_revolution,39,383
0.25,auto_bd_standard_results,classic_revolution,synthesis_valid,0.21039216322100096,9.820512820512821,5.410256410256411,3.8974358974358974,9.820512820512821,0.9487179487179487,classic_revolution,39,383
0.25,auto_bd_standard_results,classic_revolution,valid_ppa,0.21039216322100096,9.820512820512821,5.410256410256411,3.8974358974358974,9.820512820512821,0.9487179487179487,classic_revolution,39,383
0.5,auto_bd_standard_results,classic_revolution,functional,0.2475955196547727,23.307692307692307,11.307692307692308,8.051282051282051,23.307692307692307,1.0,classic_revolution,39,909
0.5,auto_bd_standard_results,classic_revolution,generated,0.2475955196547727,60.0,11.307692307692308,8.051282051282051,23.307692307692307,1.0,classic_revolution,39,2340
0.5,auto_bd_standard_results,classic_revolution,pareto_front,0.2475955196547727,23.307692307692307,11.307692307692308,8.051282051282051,23.307692307692307,1.0,classic_revolution,39,909
