feature,count,finite_fraction,unique_count,unique_ratio,nonzero_fraction,min,max,mean,stddev,q25,q75,iqr,normalized_range_coverage,collapsed,near_collapsed
hyper_max_level_delta,41,1.0,16,0.3902439024390244,0.5853658536585366,0.0,21.0,5.2682926829268295,6.343901970161553,0.0,8.0,8.0,1.0,False,False
hyper_mean_fanout,41,1.0,31,0.7560975609756098,1.0,1.1067580803134183,2.607476635514019,1.7432216600256882,0.42829742184239994,1.2276029055690072,1.9166666666666667,0.6890637610976595,1.0,False,False
hyper_net_count,41,1.0,31,0.7560975609756098,1.0,44.0,1338.0,364.9756097560976,351.85539489584517,61.0,560.0,499.0,1.0,False,False
hyper_sink_net_count,41,1.0,31,0.7560975609756098,1.0,44.0,1338.0,364.9512195121951,351.80995085827664,61.0,560.0,499.0,1.0,False,False
laplacian_lambda2,41,1.0,28,0.6829268292682927,0.926829268292683,0.0,0.16175002493659263,0.0742799322235072,0.055750044991568486,0.006760110116638266,0.1340770757881467,0.12731696567150844,1.0,False,False
laplacian_spectral_entropy,41,1.0,32,0.7804878048780488,1.0,0.9353144143796341,0.9694672912296383,0.9524435146640159,0.008553121929613095,0.9478030163916292,0.960532790569236,0.01272977417760679,1.0,False,False
log_edge_count,41,1.0,30,0.7317073170731707,1.0,1.9459101490553132,4.90527477843843,3.764982836156459,0.6118765793070532,3.2188758248682006,4.330733340286331,1.1118575154181305,1.0,False,False
log_max_level,41,1.0,15,0.36585365853658536,0.5853658536585366,0.0,3.2188758248682006,1.3150578741652827,1.186178898203473,0.0,2.1972245773362196,2.1972245773362196,1.0,False,False
log_net_count,41,1.0,31,0.7560975609756098,1.0,3.8066624897703196,7.199678345691172,5.341386070780508,1.1380217864244249,4.127134385045092,6.329720905522696,2.2025865204776043,1.0,False,False
log_node_count,41,1.0,24,0.5853658536585366,1.0,2.1972245773362196,4.5217885770490405,3.4025624004189177,0.6217109625099783,2.833213344056216,4.060443010546419,1.227229666490203,1.0,False,False
logic_depth,41,1.0,11,0.2682926829268293,1.0,1.0,22.0,6.341463414634147,4.604397453217749,4.0,6.0,2.0,1.0,False,False
logic_depth_ltp,41,1.0,11,0.2682926829268293,1.0,1.0,22.0,6.365853658536586,4.594567829465551,4.0,6.0,2.0,1.0,False,False
logic_depth_ltp_delta,41,1.0,2,0.04878048780487805,0.024390243902439025,0.0,1.0,0.024390243902439025,0.1542574468374819,0.0,0.0,0.0,1.0,False,False
ltp_noff,41,1.0,1,0.024390243902439025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True
mux_cells,41,1.0,20,0.4878048780487805,0.8536585365853658,0.0,252.0,76.14634146341463,103.83560200004943,1.0,210.0,209.0,1.0,False,False
mux_ratio,41,1.0,29,0.7073170731707317,0.8536585365853658,0.0,0.1781609195402299,0.07447967207336852,0.06417442048983077,0.014492753623188406,0.15323741007194244,0.13874465644875403,1.0,False,False
reconv_sink_ratio,41,1.0,21,0.5121951219512195,0.975609756097561,0.0,1.0,0.5515598634926164,0.3914302184079594,0.1095890410958904,1.0,0.8904109589041096,1.0,False,False
reconv_source_ratio,41,1.0,12,0.2926829268292683,0.975609756097561,0.0,1.0,0.739693265551266,0.3630555589225794,0.38461538461538464,1.0,0.6153846153846154,1.0,False,False
rent_clamped_flag,41,1.0,2,0.04878048780487805,0.3902439024390244,0.0,1.0,0.3902439024390244,0.4878048780487805,0.0,1.0,1.0,1.0,False,False
rent_confidence,41,1.0,34,0.8292682926829268,1.0,0.16418729366120852,0.9812099676378382,0.5750942262022084,0.3285838342921223,0.1758130836533089,0.8597203555848497,0.6839072719315409,1.0,False,False
rent_exponent,41,1.0,22,0.5365853658536586,0.6097560975609756,0.0,0.7529515346903537,0.25993724434844045,0.29938347568132795,0.0,0.5805575199276047,0.5805575199276047,1.0,False,False
rent_exponent_confidence_gated,41,1.0,34,0.8292682926829268,1.0,0.16534697435158435,0.7237327327988616,0.4385504329198486,0.17195368504969852,0.3008089945818083,0.5687964509028045,0.2679874563209962,1.0,False,False
rent_graph_node_count,41,1.0,24,0.5853658536585366,1.0,8.0,91.0,35.36585365853659,22.545083394098963,16.0,57.0,41.0,1.0,False,False
rent_k,41,1.0,34,0.8292682926829268,1.0,12.934387060728417,63.03954432078275,34.89615261136432,13.131830622893538,23.053143360182638,45.434898384559744,22.381755024377107,1.0,False,False
rent_r2,41,1.0,34,0.8292682926829268,1.0,0.011502258282079292,0.9248398705513526,0.4012180776324778,0.24303507831450022,0.23975785645634085,0.4981548555823141,0.25839699912597325,1.0,False,False
rent_raw_sample_count,41,1.0,15,0.36585365853658536,1.0,4.0,22.0,11.512195121951219,4.6910498654327055,8.0,16.0,8.0,1.0,False,False
rent_retained_sample_ratio,41,1.0,5,0.12195121951219512,1.0,0.8235294117647058,1.0,0.9538839926214387,0.06529764569258453,0.875,1.0,0.125,1.0,False,False
rent_sample_count,41,1.0,14,0.34146341463414637,1.0,4.0,22.0,11.121951219512194,4.889985395515223,7.0,16.0,9.0,1.0,False,False
scoap_cc0_bin_0_pct,41,1.0,31,0.7560975609756098,1.0,0.06416131989000917,0.813953488372093,0.2139292693724698,0.12663441910439502,0.13133208255159476,0.24074074074074073,0.10940865818914597,1.0,False,False
scoap_cc0_bin_1_pct,41,1.0,34,0.8292682926829268,0.975609756097561,0.0,0.569620253164557,0.31209310108456123,0.12406728900194039,0.23019182652210174,0.42105263157894735,0.1908608050568456,1.0,False,False
scoap_cc0_bin_2_pct,41,1.0,25,0.6097560975609756,0.7317073170731707,0.0,0.3392857142857143,0.12234457987221102,0.1008405995224094,0.0,0.18761061946902655,0.18761061946902655,1.0,False,False
scoap_cc0_bin_3_pct,41,1.0,32,0.7804878048780488,1.0,0.13,0.7259395050412466,0.35163304967075787,0.16137503620218305,0.21875,0.526595744680851,0.307845744680851,1.0,False,False
scoap_cc1_bin_0_pct,41,1.0,31,0.7560975609756098,1.0,0.052316890881913304,0.813953488372093,0.21269499619204446,0.12804093141455253,0.13133208255159476,0.24074074074074073,0.10940865818914597,1.0,False,False
scoap_cc1_bin_1_pct,41,1.0,32,0.7804878048780488,0.975609756097561,0.0,0.5443037974683544,0.2503014918086387,0.1594684454906538,0.07317073170731707,0.4129032258064516,0.33973249409913453,1.0,False,False
scoap_cc1_bin_2_pct,41,1.0,23,0.5609756097560976,0.7317073170731707,0.0,0.35555555555555557,0.1321701286394259,0.11112210302163165,0.0,0.20390070921985815,0.20390070921985815,1.0,False,False
scoap_cc1_bin_3_pct,41,1.0,31,0.7560975609756098,1.0,0.13253012048192772,0.8982485404503753,0.404833383359891,0.21340098884096287,0.25,0.6028368794326241,0.3528368794326241,1.0,False,False
scoap_co_bin_0_pct,41,1.0,32,0.7804878048780488,1.0,0.026905829596412557,0.7906976744186046,0.2603838191653176,0.17514117417051459,0.0675422138836773,0.42592592592592593,0.3583837120422486,1.0,False,False
scoap_co_bin_1_pct,41,1.0,24,0.5853658536585366,0.7560975609756098,0.0,0.30357142857142855,0.09866330372462424,0.12071332169691423,0.0016680567139282735,0.25,0.24833194328607172,1.0,False,False
scoap_co_bin_2_pct,41,1.0,23,0.5609756097560976,0.7317073170731707,0.0,0.42857142857142855,0.0957244541552067,0.12623163561740214,0.0,0.14814814814814814,0.14814814814814814,1.0,False,False
scoap_co_bin_3_pct,41,1.0,32,0.7804878048780488,1.0,0.109375,0.9656203288490284,0.5452284229548514,0.3291627059767612,0.1590909090909091,0.9042056074766355,0.7451146983857264,1.0,False,False
scoap_signal_smoothness,41,1.0,36,0.8780487804878049,1.0,0.05078995423551093,0.5352490741885317,0.3108928599383487,0.1622849387968419,0.13092198157138,0.4490093601349666,0.3180873785635866,1.0,False,False
seq_ratio,41,1.0,24,0.5853658536585366,0.6829268292682927,0.0,0.3939393939393939,0.12232224258228422,0.09642801432478877,0.0,0.16346153846153846,0.16346153846153846,1.0,False,False
sequential_cells,41,1.0,12,0.2926829268292683,0.6829268292682927,0.0,208.0,25.48780487804878,41.43235565571236,0.0,35.0,35.0,1.0,False,False
share_family_inv,41,1.0,11,0.2682926829268293,0.34146341463414637,0.0,0.12280701754385964,0.01436675022523589,0.024904547511305445,0.0,0.033707865168539325,0.033707865168539325,1.0,False,False
total_cells,41,1.0,35,0.8536585365853658,1.0,51.0,1511.0,566.6585365853658,583.213955207759,69.0,1325.0,1256.0,1.0,False,False
utilization,41,1.0,1,0.024390243902439025,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,True,True
