seed,method,method_label,benchmark,problem,total_generated,syntax_count,functionality_count,valid_ppa_count,syntax_rate,functionality_rate,valid_ppa_rate,best_score,global_ppa_hypervolume,hv_auc,ppa_front_points,reference_beating_count,unique_ppa_points,duplicate_ppa_point_count,front_nn_distance,front_bbox_volume,active_archive_coverage,active_archive_qd_score,active_archive_members,active_global_pareto_members,active_qd_score_auc,active_coverage_auc,qd_two_parent_gate,success_parent_requests,two_parent_attempts,two_parent_fallbacks,two_parent_gate_attempts,two_parent_gate_accepts,two_parent_gate_rejects
1001,classic_revolution,Classic,VerilogEval-Spec-to-RTL,Prob150_review2015_fsmonehot,48,31,21,21,0.645833,0.437500,0.437500,0.329686,0.000000,0.000000,1,2,3,0,0.000000,0.000000,,,,,,,,,,,,,
1001,t26_gated_near_front_fusion_qd,T48 gated QD,VerilogEval-Spec-to-RTL,Prob150_review2015_fsmonehot,48,41,28,19,0.854167,0.583333,0.395833,0.329686,0.000000,0.000000,1,2,2,0,0.000000,0.000000,1.000000,0.659363,3,1,0.082420,0.125000,near_front_descriptor,18,2,2,0,0,0
1001,classic_revolution,Classic,VerilogEval-Spec-to-RTL,Prob151_review2015_fsm,48,47,2,2,0.979167,0.041667,0.041667,-0.363048,0.000000,0.000000,2,0,2,0,0.171651,0.000738,,,,,,,,,,,,,
1001,t26_gated_near_front_fusion_qd,T48 gated QD,VerilogEval-Spec-to-RTL,Prob151_review2015_fsm,48,47,12,6,0.979167,0.250000,0.125000,,0.000000,0.000000,1,0,3,0,0.000000,0.000000,0.000000,0.000000,0,1,0.000000,0.000000,near_front_descriptor,12,0,0,0,0,0
1001,classic_revolution,Classic,VerilogEval-Spec-to-RTL,Prob153_gshare,48,45,13,13,0.937500,0.270833,0.270833,0.108647,0.000173,0.000086,4,1,8,0,0.109887,0.003706,,,,,,,,,,,,,
1001,t26_gated_near_front_fusion_qd,T48 gated QD,VerilogEval-Spec-to-RTL,Prob153_gshare,48,45,14,11,0.937500,0.291667,0.229167,0.135603,0.000327,0.000055,2,1,6,0,0.333691,0.001016,0.093750,-0.446664,6,2,-0.268533,0.041667,near_front_descriptor,15,3,3,0,0,0
1002,classic_revolution,Classic,RTLLM,Prob004_adder_8bit,48,31,31,30,0.645833,0.645833,0.625000,0.381544,0.151026,0.151026,1,2,7,0,0.000000,0.000000,,,,,,,,,,,,,
1002,t26_gated_near_front_fusion_qd,T48 gated QD,RTLLM,Prob004_adder_8bit,48,32,32,28,0.666667,0.666667,0.583333,0.381544,0.151026,0.125855,1,2,7,0,0.000000,0.000000,0.333333,1.056938,7,1,0.875714,0.277778,near_front_descriptor,24,4,0,4,4,0
1002,classic_revolution,Classic,RTLLM,Prob015_multi_pipe_8bit,48,47,22,21,0.979167,0.458333,0.437500,0.052795,0.000000,0.000000,6,0,16,0,0.248311,0.311272,,,,,,,,,,,,,
1002,t26_gated_near_front_fusion_qd,T48 gated QD,RTLLM,Prob015_multi_pipe_8bit,48,47,20,12,0.979167,0.416667,0.250000,0.088392,0.000000,0.000000,6,0,11,0,0.265009,0.371749,0.140625,-0.216105,11,6,-0.091056,0.054688,near_front_descriptor,15,2,1,1,1,0
1002,classic_revolution,Classic,RTLLM,Prob024_fsm,48,42,20,18,0.875000,0.416667,0.375000,0.683497,0.340632,0.224023,1,8,10,0,0.000000,0.000000,,,,,,,,,,,,,
1002,t26_gated_near_front_fusion_qd,T48 gated QD,RTLLM,Prob024_fsm,48,43,19,4,0.895833,0.395833,0.083333,,0.340632,0.056772,1,2,4,0,0.000000,0.000000,0.000000,0.000000,0,1,0.000000,0.000000,near_front_descriptor,12,0,0,0,0,0
1002,classic_revolution,Classic,RTLLM,Prob037_parallel2serial,48,48,15,13,1.000000,0.312500,0.270833,0.084590,0.000348,0.000290,1,2,6,0,0.000000,0.000000,,,,,,,,,,,,,
1002,t26_gated_near_front_fusion_qd,T48 gated QD,RTLLM,Prob037_parallel2serial,48,47,21,14,0.979167,0.437500,0.291667,-0.000000,0.000000,0.000000,2,0,3,0,0.075878,0.000000,0.375000,-0.133394,3,2,-0.030340,0.270833,near_front_descriptor,36,8,0,8,8,0
1002,classic_revolution,Classic,RTLLM,Prob041_traffic_light,48,47,21,21,0.979167,0.437500,0.437500,0.446180,0.365841,0.214464,4,19,21,0,0.088331,0.027327,,,,,,,,,,,,,
1002,t26_gated_near_front_fusion_qd,T48 gated QD,RTLLM,Prob041_traffic_light,48,43,16,9,0.895833,0.333333,0.187500,0.411256,0.239390,0.088603,1,5,9,0,0.000000,0.000000,0.125000,1.359847,9,1,0.226641,0.020833,near_front_descriptor,18,1,1,0,0,0
1002,classic_revolution,Classic,RTLLM,Prob045_alu,48,43,24,23,0.895833,0.500000,0.479167,0.432365,0.302396,0.206552,1,22,22,0,0.000000,0.000000,,,,,,,,,,,,,
1002,t26_gated_near_front_fusion_qd,T48 gated QD,RTLLM,Prob045_alu,48,44,19,16,0.916667,0.395833,0.333333,0.397102,0.198304,0.198269,2,13,13,0,0.012137,0.000003,0.187500,3.495541,13,2,1.351592,0.072917,near_front_descriptor,16,0,0,0,0,0
1002,classic_revolution,Classic,RTLLM,Prob049_signal_generator,48,47,22,22,0.979167,0.458333,0.458333,0.258938,0.012578,0.009917,5,4,6,0,0.137690,0.007629,,,,,,,,,,,,,
