model,benchmark_name,init_func_pass_rate,final_func_pass_rate,init_func_any_pass_rate,final_func_any_pass_rate,area_improvement_percentage_compared_to_ref,power_improvement_percentage_compared_to_ref,eff_clk_improvement_percentage_compared_to_ref,avg_runtime_seconds
gpt-4.1-mini_clean_results,VerilogEval-Spec-to-RTL/Prob101_circuit4,1.0000,0.9571,1.0000,1.0000,N/A,N/A,N/A,537.00
gpt-4.1-mini_clean_results,VerilogEval-Spec-to-RTL/Prob102_circuit3,0.9000,0.9238,1.0000,1.0000,N/A,N/A,N/A,513.04
gpt-4.1-mini_clean_results,VerilogEval-Spec-to-RTL/Prob103_circuit2,1.0000,0.9476,1.0000,1.0000,N/A,N/A,N/A,532.02
gpt-4.1-mini_clean_results,VerilogEval-Spec-to-RTL/Prob104_mt2015_muxdff,0.0000,0.0952,0.0000,1.0000,N/A,N/A,N/A,520.28
gpt-4.1-mini_clean_results,VerilogEval-Spec-to-RTL/Prob105_rotate100,1.0000,0.8857,1.0000,1.0000,8.23,7.16,0.00,1436.47
gpt-4.1-mini_clean_results,VerilogEval-Spec-to-RTL/Prob106_always_nolatches,1.0000,1.0000,1.0000,1.0000,N/A,N/A,N/A,608.93
gpt-4.1-mini_clean_results,VerilogEval-Spec-to-RTL/Prob107_fsm1s,0.6000,0.7762,1.0000,1.0000,N/A,N/A,N/A,611.07
gpt-4.1-mini_clean_results,VerilogEval-Spec-to-RTL/Prob108_rule90,0.8000,0.8095,1.0000,1.0000,-9.74,84.51,100.00,7030.92
gpt-4.1-mini_clean_results,VerilogEval-Spec-to-RTL/Prob109_fsm1,0.9000,0.8714,1.0000,1.0000,N/A,N/A,N/A,651.36
gpt-4.1-mini_clean_results,VerilogEval-Spec-to-RTL/Prob110_fsm2,0.7000,0.7524,1.0000,1.0000,N/A,N/A,N/A,569.77
gpt-4.1-mini_clean_results,VerilogEval-Spec-to-RTL/Prob111_fsm2s,0.5000,0.7905,1.0000,1.0000,N/A,N/A,N/A,736.24
gpt-4.1-mini_clean_results,VerilogEval-Spec-to-RTL/Prob112_always_case2,0.0000,0.6905,0.0000,1.0000,N/A,N/A,N/A,528.41
gpt-4.1-mini_clean_results,VerilogEval-Spec-to-RTL/Prob113_2012_q1g,0.0000,0.3667,0.0000,1.0000,N/A,N/A,N/A,951.56
gpt-4.1-mini_clean_results,VerilogEval-Spec-to-RTL/Prob114_bugs_case,1.0000,0.9667,1.0000,1.0000,N/A,N/A,N/A,631.53
gpt-4.1-mini_clean_results,VerilogEval-Spec-to-RTL/Prob115_shift18,1.0000,0.8810,1.0000,1.0000,16.21,27.73,32.43,1046.56
gpt-4.1-mini_clean_results,VerilogEval-Spec-to-RTL/Prob116_m2014_q3,0.0000,0.1429,0.0000,1.0000,N/A,N/A,N/A,831.33
gpt-4.1-mini_clean_results,VerilogEval-Spec-to-RTL/Prob117_circuit9,0.4000,0.7952,1.0000,1.0000,N/A,N/A,N/A,626.12
gpt-4.1-mini_clean_results,VerilogEval-Spec-to-RTL/Prob118_history_shift,0.7000,0.8619,1.0000,1.0000,0.00,0.00,0.00,667.33
gpt-4.1-mini_clean_results,VerilogEval-Spec-to-RTL/Prob119_fsm3,0.3000,0.7381,1.0000,1.0000,N/A,N/A,N/A,641.20
gpt-4.1-mini_clean_results,VerilogEval-Spec-to-RTL/Prob120_fsm3s,0.3000,0.7667,1.0000,1.0000,N/A,N/A,N/A,648.54
gpt-4.1-mini_clean_results,VerilogEval-Spec-to-RTL/Prob121_2014_q3bfsm,1.0000,0.7762,1.0000,1.0000,N/A,N/A,N/A,712.53
gpt-4.1-mini_clean_results,VerilogEval-Spec-to-RTL/Prob122_kmap4,0.9000,0.9381,1.0000,1.0000,N/A,N/A,N/A,543.84
gpt-4.1-mini_clean_results,VerilogEval-Spec-to-RTL/Prob123_bugs_addsubz,0.9000,0.9714,1.0000,1.0000,20.00,98.94,N/A,783.31
gpt-4.1-mini_clean_results,VerilogEval-Spec-to-RTL/Prob124_rule110,0.6000,0.5667,1.0000,1.0000,-13.42,98.51,100.00,4025.25
gpt-4.1-mini_clean_results,VerilogEval-Spec-to-RTL/Prob125_kmap3,0.5000,0.7143,1.0000,1.0000,N/A,N/A,N/A,704.09
gpt-4.1-mini_clean_results,VerilogEval-Spec-to-RTL/Prob126_circuit6,1.0000,0.8095,1.0000,1.0000,N/A,N/A,N/A,614.25
