scope,name,method,reference,metric,value,reference_value,delta,relative_delta
problem_seed,1001:RTLLM:Prob041_traffic_light,rtl_native_front_guarded_parent_qd,classic_revolution,ppa_front_points,1.000000,2.000000,-1.000000,-0.500000
problem_seed,1001:RTLLM:Prob041_traffic_light,rtl_native_front_guarded_parent_qd,classic_revolution,unique_ppa_points,22.000000,15.000000,7.000000,0.466667
problem_seed,1001:RTLLM:Prob041_traffic_light,rtl_native_front_guarded_parent_qd,classic_revolution,reference_beating_count,13.000000,14.000000,-1.000000,-0.071429
problem_seed,1001:RTLLM:Prob045_alu,rtl_native_front_guarded_parent_qd,classic_revolution,global_ppa_hypervolume,0.187133,0.190351,-0.003218,-0.016906
problem_seed,1001:RTLLM:Prob045_alu,rtl_native_front_guarded_parent_qd,classic_revolution,hv_auc,0.187126,0.156081,0.031045,0.198903
problem_seed,1001:RTLLM:Prob045_alu,rtl_native_front_guarded_parent_qd,classic_revolution,best_score,0.393301,0.394596,-0.001295,-0.003282
problem_seed,1001:RTLLM:Prob045_alu,rtl_native_front_guarded_parent_qd,classic_revolution,valid_ppa_count,20.000000,10.000000,10.000000,1.000000
problem_seed,1001:RTLLM:Prob045_alu,rtl_native_front_guarded_parent_qd,classic_revolution,ppa_front_points,2.000000,1.000000,1.000000,1.000000
problem_seed,1001:RTLLM:Prob045_alu,rtl_native_front_guarded_parent_qd,classic_revolution,unique_ppa_points,19.000000,9.000000,10.000000,1.111111
problem_seed,1001:RTLLM:Prob045_alu,rtl_native_front_guarded_parent_qd,classic_revolution,reference_beating_count,19.000000,9.000000,10.000000,1.111111
problem_seed,1001:RTLLM:Prob049_signal_generator,rtl_native_front_guarded_parent_qd,classic_revolution,global_ppa_hypervolume,0.006834,0.012810,-0.005976,-0.466511
problem_seed,1001:RTLLM:Prob049_signal_generator,rtl_native_front_guarded_parent_qd,classic_revolution,hv_auc,0.006834,0.009922,-0.003088,-0.311228
problem_seed,1001:RTLLM:Prob049_signal_generator,rtl_native_front_guarded_parent_qd,classic_revolution,best_score,0.234775,0.234775,0.000000,0.000000
problem_seed,1001:RTLLM:Prob049_signal_generator,rtl_native_front_guarded_parent_qd,classic_revolution,valid_ppa_count,34.000000,17.000000,17.000000,1.000000
problem_seed,1001:RTLLM:Prob049_signal_generator,rtl_native_front_guarded_parent_qd,classic_revolution,ppa_front_points,1.000000,3.000000,-2.000000,-0.666667
problem_seed,1001:RTLLM:Prob049_signal_generator,rtl_native_front_guarded_parent_qd,classic_revolution,unique_ppa_points,1.000000,5.000000,-4.000000,-0.800000
problem_seed,1001:RTLLM:Prob049_signal_generator,rtl_native_front_guarded_parent_qd,classic_revolution,reference_beating_count,1.000000,3.000000,-2.000000,-0.666667
problem_seed,1001:VerilogEval-Spec-to-RTL:Prob098_circuit7,rtl_native_front_guarded_parent_qd,classic_revolution,global_ppa_hypervolume,0.000000,0.000000,0.000000,
