backend,benchmark,problem,candidate,source,cone_count,area,power,tns,wns,deepgate_pc1,deepgate_pc2,deepgate_pc3,cell_axis_1,cell_axis_2,cell_axis_3,cell_id,pareto_area_power
classic_revolution_8x5,VerilogEval-Spec-to-RTL,Prob153_gshare,Prob153_gshare_sample7_M-E,cone_pool,3,2753.0,0.28,-204.35,-0.8,-0.19207994639873505,-0.10551805794239044,-0.026901936158537865,0,2,0,0:2:0,1
code_thought_sr_front_slot_8x5,RTLLM,Prob015_multi_pipe_8bit,Prob015_multi_pipe_8bit_sample1_initial,cone_pool,3,1162.0,0.161,-36.85,-1.26,-0.2164241224527359,-0.18545007705688477,0.01831340603530407,0,0,3,0:0:3,0
code_thought_sr_front_slot_8x5,RTLLM,Prob015_multi_pipe_8bit,Prob015_multi_pipe_8bit_sample4_initial,cone_pool,3,623.0,0.0912,-15.18,-1.04,-0.15077322721481323,-0.17263725399971008,0.00994572602212429,3,0,3,3:0:3,0
code_thought_sr_front_slot_8x5,RTLLM,Prob015_multi_pipe_8bit,Prob015_multi_pipe_8bit_sample6_single_thought_operator,cone_pool,3,715.0,0.11,-19.61,-1.07,-0.19462817907333374,-0.11068001389503479,-0.014423544518649578,1,3,0,1:3:0,0
code_thought_sr_front_slot_8x5,RTLLM,Prob024_fsm,Prob024_fsm_sample3_initial,full_transition,0,29.0,0.00494,-0.67,-0.24,0.15576384961605072,0.08750728517770767,-0.002009929856285453,0,2,1,0:2:1,1
code_thought_sr_front_slot_8x5,RTLLM,Prob024_fsm,Prob024_fsm_sample6_initial,full_transition,0,37.0,0.00993,-0.69,-0.25,0.1633991152048111,0.06817197799682617,0.006684852764010429,2,2,3,2:2:3,0
code_thought_sr_front_slot_8x5,RTLLM,Prob024_fsm,Prob024_fsm_sample3_single_thought_operator,full_transition,0,29.0,0.00494,-0.67,-0.24,0.17186971008777618,0.08973599970340729,0.004303586203604937,3,2,2,3:2:2,1
code_thought_sr_front_slot_8x5,RTLLM,Prob041_traffic_light,Prob041_traffic_light_sample4_initial,full_transition,0,150.0,0.0333,0.0,0.0,0.30943232774734497,-0.10457825660705566,0.03825226426124573,3,1,2,3:1:2,0
code_thought_sr_front_slot_8x5,RTLLM,Prob041_traffic_light,Prob041_traffic_light_sample5_single_thought_operator,full_transition,0,147.0,0.000256,0.0,0.0,0.29797402024269104,-0.05487199127674103,0.0306863896548748,1,3,1,1:3:1,1
code_thought_sr_front_slot_8x5,RTLLM,Prob041_traffic_light,Prob041_traffic_light_sample8_single_thought_operator,full_transition,0,147.0,0.024,0.0,0.0,0.3071545362472534,-0.10471771657466888,0.039398424327373505,2,1,3,2:1:3,0
code_thought_sr_front_slot_8x5,RTLLM,Prob045_alu,Prob045_alu_sample1_initial,cone_pool,3,1938.0,0.00112,0.0,0.0,0.004901023581624031,0.07644281536340714,-0.09466836601495743,2,1,2,2:1:2,0
code_thought_sr_front_slot_8x5,RTLLM,Prob045_alu,Prob045_alu_sample2_initial,cone_pool,3,1843.0,0.00105,0.0,0.0,0.00848858617246151,0.07455992698669434,-0.093158058822155,2,0,2,2:0:2,1
code_thought_sr_front_slot_8x5,RTLLM,Prob045_alu,Prob045_alu_sample5_initial,cone_pool,3,1856.0,0.00109,0.0,0.0,-0.03818928450345993,0.2212757170200348,-0.1225600317120552,0,3,0,0:3:0,0
code_thought_sr_front_slot_8x5,RTLLM,Prob049_signal_generator,Prob049_signal_generator_sample2_initial,full_transition,0,82.0,0.00252,-1.99,-0.37,0.24837619066238403,0.014041464775800705,0.002010961761698127,0,3,0,0:3:0,1
code_thought_sr_front_slot_8x5,RTLLM,Prob049_signal_generator,Prob049_signal_generator_sample4_initial,full_transition,0,82.0,0.00252,-1.99,-0.37,0.25688984990119934,0.006017082836478949,0.005526092369109392,1,2,1,1:2:1,1
code_thought_sr_front_slot_8x5,RTLLM,Prob049_signal_generator,Prob049_signal_generator_sample7_initial,full_transition,0,82.0,0.00252,-1.99,-0.37,0.2636514902114868,0.005676157306879759,0.008412987925112247,3,1,2,3:1:2,1
code_thought_sr_front_slot_8x5,VerilogEval-Spec-to-RTL,Prob116_m2014_q3,Prob116_m2014_q3_sample2_initial,full_transition,0,5.0,1.62e-06,0.0,0.0,-0.22976715862751007,0.4109824597835541,0.07146087288856506,1,3,3,1:3:3,0
code_thought_sr_front_slot_8x5,VerilogEval-Spec-to-RTL,Prob116_m2014_q3,Prob116_m2014_q3_sample6_initial,full_transition,0,4.0,1.79e-06,0.0,0.0,-0.16364553570747375,0.0407937616109848,0.02886066399514675,3,1,1,3:1:1,0
code_thought_sr_front_slot_8x5,VerilogEval-Spec-to-RTL,Prob116_m2014_q3,Prob116_m2014_q3_sample7_initial,full_transition,0,4.0,1.24e-06,0.0,0.0,-0.3870275914669037,0.02230057120323181,0.08458320051431656,0,1,3,0:1:3,0
code_thought_sr_front_slot_8x5,VerilogEval-Spec-to-RTL,Prob135_m2014_q6b,Prob135_m2014_q6b_sample3_initial,full_transition,0,7.0,2.58e-06,0.0,0.0,-0.171552836894989,-0.08647823333740234,0.005506069865077734,0,1,0,0:1:0,1
code_thought_sr_front_slot_8x5,VerilogEval-Spec-to-RTL,Prob135_m2014_q6b,Prob135_m2014_q6b_sample8_initial,full_transition,0,7.0,2.58e-06,0.0,0.0,-0.16250091791152954,-0.09841480851173401,0.020200474187731743,1,1,1,1:1:1,1
code_thought_sr_front_slot_8x5,VerilogEval-Spec-to-RTL,Prob135_m2014_q6b,Prob135_m2014_q6b_sample2_single_thought_operator,full_transition,0,7.0,2.58e-06,0.0,0.0,-0.12542547285556793,0.24305038154125214,0.00019863469060510397,3,3,0,3:3:0,1
code_thought_sr_front_slot_8x5,VerilogEval-Spec-to-RTL,Prob153_gshare,Prob153_gshare_sample8_initial,cone_pool,3,5294.0,0.862,-184.84,-0.75,-0.1620674729347229,-0.08544506132602692,-0.00993858091533184,2,3,3,2:3:3,0
code_thought_sr_front_slot_8x5,VerilogEval-Spec-to-RTL,Prob153_gshare,Prob153_gshare_sample3_single_thought_operator,cone_pool,3,3080.0,0.429,-198.35,-0.78,-0.14614146947860718,-0.09214502573013306,-0.023356016725301743,3,3,1,3:3:1,0
code_thought_sr_front_slot_8x5,VerilogEval-Spec-to-RTL,Prob153_gshare,Prob153_gshare_sample5_single_thought_operator,cone_pool,3,3163.0,0.434,-178.34,-0.71,-0.1815716028213501,-0.11726965010166168,-0.023013312369585037,0,1,1,0:1:1,0
masterrtl_structural_mix_8x5,RTLLM,Prob015_multi_pipe_8bit,Prob015_multi_pipe_8bit_sample7_initial,cone_pool,3,623.0,0.0911,-15.18,-1.04,-0.21943452954292297,-0.10044639557600021,-0.014487375505268574,0,3,0,0:3:0,0
masterrtl_structural_mix_8x5,RTLLM,Prob015_multi_pipe_8bit,Prob015_multi_pipe_8bit_sample8_initial,cone_pool,3,1253.0,0.181,-37.67,-0.82,-0.19371254742145538,-0.14068299531936646,0.004947072360664606,2,2,2,2:2:2,0
masterrtl_structural_mix_8x5,RTLLM,Prob015_multi_pipe_8bit,Prob015_multi_pipe_8bit_sample3_single_thought_operator,cone_pool,3,685.0,0.103,-18.85,-1.02,-0.20525217056274414,-0.15465393662452698,0.009345229715108871,0,1,3,0:1:3,0
masterrtl_structural_mix_8x5,RTLLM,Prob024_fsm,Prob024_fsm_sample1_initial,full_transition,0,38.0,0.0102,-0.69,-0.25,0.16759729385375977,0.036601562052965164,-0.005886090453714132,2,0,0,2:0:0,0
masterrtl_structural_mix_8x5,RTLLM,Prob024_fsm,Prob024_fsm_sample6_initial,full_transition,0,29.0,0.00494,-0.67,-0.24,0.15068428218364716,0.09662432223558426,-0.0023295809514820576,0,3,1,0:3:1,1
masterrtl_structural_mix_8x5,RTLLM,Prob024_fsm,Prob024_fsm_sample5_single_thought_operator,full_transition,0,37.0,0.00993,-0.69,-0.25,0.17295493185520172,0.06258218735456467,0.010127853602170944,3,0,3,3:0:3,0
masterrtl_structural_mix_8x5,RTLLM,Prob041_traffic_light,Prob041_traffic_light_sample3_initial,full_transition,0,172.0,0.0326,0.0,0.0,0.2985931634902954,-0.1004287376999855,0.036967672407627106,1,1,2,1:1:2,0
masterrtl_structural_mix_8x5,RTLLM,Prob041_traffic_light,Prob041_traffic_light_sample6_initial,full_transition,0,179.0,0.0368,0.0,0.0,0.296536386013031,-0.09925694018602371,0.03294624015688896,1,2,1,1:2:1,0
masterrtl_structural_mix_8x5,RTLLM,Prob041_traffic_light,Prob041_traffic_light_sample1_single_thought_operator,full_transition,0,171.0,0.000578,0.0,0.0,0.31673985719680786,-0.11137360334396362,0.04341081529855728,3,0,3,3:0:3,0
masterrtl_structural_mix_8x5,RTLLM,Prob045_alu,Prob045_alu_sample1_initial,cone_pool,3,1837.0,0.00106,0.0,0.0,0.010392886586487293,0.0704479068517685,-0.09253085404634476,3,0,3,3:0:3,1
masterrtl_structural_mix_8x5,RTLLM,Prob045_alu,Prob045_alu_sample7_initial,cone_pool,3,1932.0,0.00109,0.0,0.0,0.011118892580270767,0.07470329850912094,-0.09202156960964203,3,1,3,3:1:3,0
masterrtl_structural_mix_8x5,RTLLM,Prob045_alu,Prob045_alu_sample2_single_thought_operator,cone_pool,3,1959.0,0.00105,0.0,0.0,0.00426704715937376,0.0759335309267044,-0.09515451639890671,1,1,1,1:1:1,0
masterrtl_structural_mix_8x5,RTLLM,Prob049_signal_generator,Prob049_signal_generator_sample2_initial,full_transition,0,82.0,0.00252,-1.99,-0.37,0.2603132724761963,0.004043875262141228,0.007998318411409855,2,1,2,2:1:2,1
masterrtl_structural_mix_8x5,RTLLM,Prob049_signal_generator,Prob049_signal_generator_sample5_initial,full_transition,0,82.0,0.00252,-1.98,-0.37,0.2549668550491333,0.009942343458533287,0.005163353402167559,1,3,1,1:3:1,1
masterrtl_structural_mix_8x5,RTLLM,Prob049_signal_generator,Prob049_signal_generator_sample6_initial,full_transition,0,82.0,0.00252,-1.99,-0.37,0.25809964537620544,0.008150145411491394,0.006142804864794016,1,2,1,1:2:1,1
masterrtl_structural_mix_8x5,VerilogEval-Spec-to-RTL,Prob116_m2014_q3,Prob116_m2014_q3_sample1_initial,full_transition,0,3.0,7.61e-07,0.0,0.0,-0.1839400976896286,0.08488522469997406,0.027698514983057976,2,2,1,2:2:1,1
masterrtl_structural_mix_8x5,VerilogEval-Spec-to-RTL,Prob116_m2014_q3,Prob116_m2014_q3_sample2_initial,full_transition,0,5.0,1.62e-06,0.0,0.0,-0.18362632393836975,0.3509988486766815,0.06883478909730911,2,3,2,2:3:2,0
masterrtl_structural_mix_8x5,VerilogEval-Spec-to-RTL,Prob116_m2014_q3,Prob116_m2014_q3_sample3_initial,full_transition,0,4.0,1.79e-06,0.0,0.0,-0.25338783860206604,-0.02890954166650772,0.06634443253278732,0,0,2,0:0:2,0
masterrtl_structural_mix_8x5,VerilogEval-Spec-to-RTL,Prob135_m2014_q6b,Prob135_m2014_q6b_sample1_initial,full_transition,0,7.0,2.58e-06,0.0,0.0,-0.1749216765165329,-0.02207404561340809,0.02941753715276718,0,2,3,0:2:3,1
masterrtl_structural_mix_8x5,VerilogEval-Spec-to-RTL,Prob135_m2014_q6b,Prob135_m2014_q6b_sample3_initial,full_transition,0,7.0,2.58e-06,0.0,0.0,-0.14635150134563446,0.3834713101387024,0.04984505474567413,2,3,3,2:3:3,1
masterrtl_structural_mix_8x5,VerilogEval-Spec-to-RTL,Prob135_m2014_q6b,Prob135_m2014_q6b_sample4_initial,full_transition,0,7.0,2.58e-06,0.0,0.0,-0.15511064231395721,-0.13608023524284363,0.022686539217829704,1,0,1,1:0:1,1
masterrtl_structural_mix_8x5,VerilogEval-Spec-to-RTL,Prob153_gshare,Prob153_gshare_sample1_initial,cone_pool,3,3163.0,0.434,-178.34,-0.71,-0.13259842991828918,-0.14127010107040405,-0.011451254598796368,3,0,2,3:0:2,0
masterrtl_structural_mix_8x5,VerilogEval-Spec-to-RTL,Prob153_gshare,Prob153_gshare_sample5_single_thought_operator,cone_pool,3,3163.0,0.434,-178.34,-0.71,-0.1759779304265976,-0.11890672147274017,-0.0166957825422287,1,0,2,1:0:2,0
masterrtl_structural_mix_8x5,VerilogEval-Spec-to-RTL,Prob153_gshare,Prob153_gshare_sample4_single_thought_operator,cone_pool,3,3008.0,0.411,-159.12,-0.74,-0.23821298778057098,-0.07272037863731384,-0.02545315958559513,0,3,0,0:3:0,0
qwen_canonical_rtl_pca3_8x5,RTLLM,Prob015_multi_pipe_8bit,Prob015_multi_pipe_8bit_sample1_initial,cone_pool,3,600.0,0.0874,-15.36,-1.02,-0.16166217625141144,-0.13173358142375946,-0.008069959469139576,3,3,0,3:3:0,1
qwen_canonical_rtl_pca3_8x5,RTLLM,Prob015_multi_pipe_8bit,Prob015_multi_pipe_8bit_sample2_single_thought_operator,cone_pool,3,600.0,0.0874,-15.36,-1.02,-0.1952393501996994,-0.1460888534784317,-0.004344257526099682,1,2,1,1:2:1,1
qwen_canonical_rtl_pca3_8x5,RTLLM,Prob015_multi_pipe_8bit,Prob015_multi_pipe_8bit_sample6_single_thought_operator,cone_pool,3,600.0,0.0874,-15.36,-1.02,-0.19155925512313843,-0.15134726464748383,0.009276928380131721,2,1,2,2:1:2,1
qwen_canonical_rtl_pca3_8x5,RTLLM,Prob024_fsm,Prob024_fsm_sample3_initial,full_transition,0,38.0,0.0102,-0.69,-0.25,0.17420074343681335,0.03965037688612938,-0.0014393784804269671,3,0,2,3:0:2,0
qwen_canonical_rtl_pca3_8x5,RTLLM,Prob024_fsm,Prob024_fsm_sample3_single_thought_operator,full_transition,0,37.0,0.00993,-0.69,-0.25,0.1578565388917923,0.0670725554227829,0.002420332981273532,1,1,2,1:1:2,0
qwen_canonical_rtl_pca3_8x5,RTLLM,Prob024_fsm,Prob024_fsm_sample4_single_thought_operator,full_transition,0,29.0,0.00494,-0.67,-0.24,0.14277270436286926,0.09642831981182098,-0.00422503100708127,0,3,0,0:3:0,1
qwen_canonical_rtl_pca3_8x5,RTLLM,Prob041_traffic_light,Prob041_traffic_light_sample2_initial,full_transition,0,195.0,0.000531,0.0,0.0,0.3024764358997345,-0.0641809031367302,0.02655721642076969,2,2,0,2:2:0,0
qwen_canonical_rtl_pca3_8x5,RTLLM,Prob041_traffic_light,Prob041_traffic_light_sample5_initial,full_transition,0,198.0,0.00504,0.0,0.0,0.3058824837207794,-0.10839621722698212,0.038600824773311615,2,0,2,2:0:2,0
qwen_canonical_rtl_pca3_8x5,RTLLM,Prob041_traffic_light,Prob041_traffic_light_sample2_single_thought_operator,full_transition,0,181.0,0.000522,0.0,0.0,0.30967092514038086,-0.10764823853969574,0.040159497410058975,3,0,3,3:0:3,0
qwen_canonical_rtl_pca3_8x5,RTLLM,Prob045_alu,Prob045_alu_sample2_initial,cone_pool,3,1974.0,0.00109,0.0,0.0,-0.010808576829731464,0.08940631151199341,-0.10190123319625854,0,3,0,0:3:0,0
qwen_canonical_rtl_pca3_8x5,RTLLM,Prob045_alu,Prob045_alu_sample7_initial,cone_pool,3,1948.0,0.00107,0.0,0.0,0.004285468719899654,0.08374389261007309,-0.0955328568816185,2,3,1,2:3:1,0
qwen_canonical_rtl_pca3_8x5,RTLLM,Prob045_alu,Prob045_alu_sample8_single_thought_operator,cone_pool,3,1849.0,0.00105,0.0,0.0,0.0025603047106415033,0.07681043446063995,-0.09503482282161713,1,2,2,1:2:2,0
qwen_canonical_rtl_pca3_8x5,RTLLM,Prob049_signal_generator,Prob049_signal_generator_sample1_initial,full_transition,0,82.0,0.00252,-1.99,-0.37,0.26285508275032043,0.0008834752952679992,0.008956512436270714,2,0,3,2:0:3,1
qwen_canonical_rtl_pca3_8x5,RTLLM,Prob049_signal_generator,Prob049_signal_generator_sample2_initial,full_transition,0,82.0,0.00252,-1.99,-0.37,0.25457391142845154,0.008781441487371922,0.0046391268260777,0,3,0,0:3:0,1
qwen_canonical_rtl_pca3_8x5,RTLLM,Prob049_signal_generator,Prob049_signal_generator_sample3_initial,full_transition,0,82.0,0.00252,-1.99,-0.37,0.2606591582298279,0.0033666242379695177,0.007772902492433786,2,1,2,2:1:2,1
qwen_canonical_rtl_pca3_8x5,VerilogEval-Spec-to-RTL,Prob116_m2014_q3,Prob116_m2014_q3_sample2_initial,full_transition,0,3.0,7.61e-07,0.0,0.0,-0.2547730803489685,0.049696698784828186,0.025727784261107445,0,1,0,0:1:0,1
qwen_canonical_rtl_pca3_8x5,VerilogEval-Spec-to-RTL,Prob116_m2014_q3,Prob116_m2014_q3_sample4_initial,full_transition,0,5.0,1.62e-06,0.0,0.0,-0.1741446554660797,0.32829245924949646,0.0697372779250145,3,2,2,3:2:2,0
qwen_canonical_rtl_pca3_8x5,VerilogEval-Spec-to-RTL,Prob116_m2014_q3,Prob116_m2014_q3_sample7_initial,full_transition,0,4.0,1.93e-06,0.0,0.0,-0.15256176888942719,0.22031325101852417,0.02485848218202591,3,2,0,3:2:0,0
qwen_canonical_rtl_pca3_8x5,VerilogEval-Spec-to-RTL,Prob135_m2014_q6b,Prob135_m2014_q6b_sample1_initial,full_transition,0,7.0,2.58e-06,0.0,0.0,-0.08204443007707596,-0.07119940221309662,0.021290922537446022,3,1,1,3:1:1,1
qwen_canonical_rtl_pca3_8x5,VerilogEval-Spec-to-RTL,Prob135_m2014_q6b,Prob135_m2014_q6b_sample2_initial,full_transition,0,7.0,2.58e-06,0.0,0.0,-0.1714533418416977,-0.1412636637687683,0.026827210560441017,0,0,2,0:0:2,1
qwen_canonical_rtl_pca3_8x5,VerilogEval-Spec-to-RTL,Prob135_m2014_q6b,Prob135_m2014_q6b_sample3_initial,full_transition,0,7.0,2.58e-06,0.0,0.0,-0.10430893301963806,-0.06555122882127762,0.003590109059587121,3,2,0,3:2:0,1
qwen_canonical_rtl_pca3_8x5,VerilogEval-Spec-to-RTL,Prob153_gshare,Prob153_gshare_sample8_initial,cone_pool,3,3317.0,0.485,-176.25,-0.73,-0.16477057337760925,-0.11668724566698074,-0.01688299886882305,1,1,2,1:1:2,0
qwen_canonical_rtl_pca3_8x5,VerilogEval-Spec-to-RTL,Prob153_gshare,Prob153_gshare_sample2_single_thought_operator,cone_pool,3,3080.0,0.429,-198.35,-0.78,-0.131287083029747,-0.11103437095880508,-0.029174815863370895,3,1,0,3:1:0,0
qwen_canonical_rtl_pca3_8x5,VerilogEval-Spec-to-RTL,Prob153_gshare,Prob153_gshare_sample6_single_thought_operator,cone_pool,3,3166.0,0.516,-159.09,-0.67,-0.1617649644613266,-0.12368465960025787,-0.004860015120357275,2,0,3,2:0:3,0
