problem_id,early_candidate_count,early_valid_ppa_count,early_valid_ppa_rate,early_style_cluster_count,early_motif_count,early_mean_lexical_distance,final_valid_ppa_count,final_best_fitness,final_hypervolume,final_front_style_cluster_count
aspdac2026/deepseek_clean_results/VerilogEval-Spec-to-RTL/Prob011_norgate,20,19,0.95,2,1,2.1736054151637134,181,0.49422222222222223,0.0,2
aspdac2026/deepseek_clean_results/VerilogEval-Spec-to-RTL/Prob012_xnorgate,20,19,0.95,2,1,2.593681493983193,188,-0.0,0.0,5
aspdac2026/deepseek_clean_results/VerilogEval-Spec-to-RTL/Prob013_m2014_q4e,20,18,0.9,4,1,2.9477240923314345,188,-0.0,0.0,7
aspdac2026/deepseek_clean_results/VerilogEval-Spec-to-RTL/Prob014_andgate,20,19,0.95,2,1,2.1285979187709385,198,-0.0,0.0,5
aspdac2026/deepseek_clean_results/VerilogEval-Spec-to-RTL/Prob015_vector1,20,20,1.0,2,1,3.2126744897445185,198,-0.0,0.0,6
aspdac2026/deepseek_clean_results/VerilogEval-Spec-to-RTL/Prob016_m2014_q4j,20,20,1.0,3,1,3.426007919517215,192,0.6364511278195488,0.334944962406015,1
aspdac2026/deepseek_clean_results/VerilogEval-Spec-to-RTL/Prob017_mux2to1v,20,18,0.9,4,1,3.662553261520344,186,-0.0,0.0,5
aspdac2026/deepseek_clean_results/VerilogEval-Spec-to-RTL/Prob018_mux256to1,20,17,0.85,2,1,3.432258124402844,165,0.53641980697415,0.08479088866256042,3
aspdac2026/deepseek_clean_results/VerilogEval-Spec-to-RTL/Prob019_m2014_q4f,20,20,1.0,3,1,3.404980338086961,198,-0.0,0.0,5
aspdac2026/deepseek_clean_results/VerilogEval-Spec-to-RTL/Prob020_mt2015_eq2,20,20,1.0,2,1,2.86250682899715,207,-0.0,0.0,6
aspdac2026/deepseek_clean_results/VerilogEval-Spec-to-RTL/Prob021_mux256to1v,20,15,0.75,2,1,3.340930043291386,168,0.36054389908829776,0.11550830523292122,1
aspdac2026/deepseek_clean_results/VerilogEval-Spec-to-RTL/Prob022_mux2to1,20,20,1.0,4,1,2.4361082810575656,195,-0.0,0.0,6
aspdac2026/deepseek_clean_results/VerilogEval-Spec-to-RTL/Prob023_vector100r,20,19,0.95,1,1,2.3381697138083473,175,-0.0,0.0,4
aspdac2026/deepseek_clean_results/VerilogEval-Spec-to-RTL/Prob024_hadd,20,20,1.0,3,1,3.1401942279944324,204,0.49464780600461894,0.0,2
aspdac2026/deepseek_clean_results/VerilogEval-Spec-to-RTL/Prob025_reduction,20,20,1.0,2,1,2.424870913621864,194,-0.0,0.0,2
aspdac2026/deepseek_clean_results/VerilogEval-Spec-to-RTL/Prob026_alwaysblock1,20,11,0.55,2,1,3.2705665605467718,124,0.4945088676671214,0.0,1
aspdac2026/deepseek_clean_results/VerilogEval-Spec-to-RTL/Prob027_fadd,20,20,1.0,2,1,3.2241839867839333,198,-0.0,0.0,4
aspdac2026/deepseek_clean_results/VerilogEval-Spec-to-RTL/Prob028_m2014_q4a,20,5,0.25,1,1,1.9999999999999996,59,0.31210392902408113,0.09695817490494296,2
aspdac2026/deepseek_clean_results/VerilogEval-Spec-to-RTL/Prob029_m2014_q4g,20,19,0.95,2,1,2.90585036795267,201,0.49478932584269664,0.0,1
aspdac2026/deepseek_clean_results/VerilogEval-Spec-to-RTL/Prob030_popcount255,20,12,0.6,3,1,4.5790985154391075,137,0.06581100092050644,0.0027510985289264807,2
aspdac2026/deepseek_clean_results/VerilogEval-Spec-to-RTL/Prob031_dff,20,19,0.95,1,1,2.912419712451566,149,0.4986923076923077,0.0,2
aspdac2026/deepseek_clean_results/VerilogEval-Spec-to-RTL/Prob032_vector0,20,19,0.95,2,1,2.7538555438887173,200,0.4945275590551181,0.0,1
aspdac2026/deepseek_clean_results/VerilogEval-Spec-to-RTL/Prob033_ece241_2014_q1c,20,16,0.8,2,1,2.940697981013588,166,0.38351996105160663,0.14569133398247322,2
aspdac2026/deepseek_clean_results/VerilogEval-Spec-to-RTL/Prob034_dff8,20,0,0.0,0,0,0.0,0,,0.0,0
aspdac2026/deepseek_clean_results/VerilogEval-Spec-to-RTL/Prob035_count1to10,20,19,0.95,2,1,3.566725008597738,178,0.07777434259843552,0.0,2
aspdac2026/deepseek_clean_results/VerilogEval-Spec-to-RTL/Prob036_ringer,20,19,0.95,4,1,3.2370979028099764,197,-0.0,0.0,4
aspdac2026/deepseek_clean_results/VerilogEval-Spec-to-RTL/Prob037_review2015_count1k,20,17,0.85,1,1,3.0412899097588757,155,0.017543859649122823,0.0,1
