problem,backend,candidate,source_aig_variables,source_aig_ands,output_index,cone_variables,cone_inputs,cone_ands,embedded_nodes,embedded_edges,embedding_seconds,cone_path
Prob045_alu,masterrtl_structural_mix_8x5,Prob045_alu_sample1_initial,2907,2836,3,289,44,245,475,662,0.071038,exp/useful_bd_push/deepgate_cone_bridge_probe_20260626_UTC/cones/row_021_cone_02.aag
Prob045_alu,masterrtl_structural_mix_8x5,Prob045_alu_sample7_initial,2738,2667,1,258,44,214,427,588,0.063510,exp/useful_bd_push/deepgate_cone_bridge_probe_20260626_UTC/cones/row_022_cone_00.aag
Prob045_alu,masterrtl_structural_mix_8x5,Prob045_alu_sample7_initial,2738,2667,2,270,44,226,445,616,0.066276,exp/useful_bd_push/deepgate_cone_bridge_probe_20260626_UTC/cones/row_022_cone_01.aag
Prob045_alu,masterrtl_structural_mix_8x5,Prob045_alu_sample7_initial,2738,2667,3,279,44,235,461,640,0.069659,exp/useful_bd_push/deepgate_cone_bridge_probe_20260626_UTC/cones/row_022_cone_02.aag
Prob045_alu,masterrtl_structural_mix_8x5,Prob045_alu_sample2_single_thought_operator,2733,2662,1,258,44,214,427,588,0.063500,exp/useful_bd_push/deepgate_cone_bridge_probe_20260626_UTC/cones/row_023_cone_00.aag
Prob045_alu,masterrtl_structural_mix_8x5,Prob045_alu_sample2_single_thought_operator,2733,2662,2,270,44,226,445,616,0.065712,exp/useful_bd_push/deepgate_cone_bridge_probe_20260626_UTC/cones/row_023_cone_01.aag
Prob045_alu,masterrtl_structural_mix_8x5,Prob045_alu_sample2_single_thought_operator,2733,2662,3,279,44,235,461,640,0.069400,exp/useful_bd_push/deepgate_cone_bridge_probe_20260626_UTC/cones/row_023_cone_02.aag
Prob153_gshare,masterrtl_structural_mix_8x5,Prob153_gshare_sample1_initial,9515,8842,8,8,4,4,13,13,0.010625,exp/useful_bd_push/deepgate_cone_bridge_probe_20260626_UTC/cones/row_024_cone_00.aag
Prob153_gshare,masterrtl_structural_mix_8x5,Prob153_gshare_sample1_initial,9515,8842,9,8,4,4,13,13,0.010263,exp/useful_bd_push/deepgate_cone_bridge_probe_20260626_UTC/cones/row_024_cone_01.aag
Prob153_gshare,masterrtl_structural_mix_8x5,Prob153_gshare_sample1_initial,9515,8842,10,8,4,4,13,13,0.010213,exp/useful_bd_push/deepgate_cone_bridge_probe_20260626_UTC/cones/row_024_cone_02.aag
Prob153_gshare,masterrtl_structural_mix_8x5,Prob153_gshare_sample5_single_thought_operator,9515,8842,8,8,4,4,13,13,0.011254,exp/useful_bd_push/deepgate_cone_bridge_probe_20260626_UTC/cones/row_025_cone_00.aag
Prob153_gshare,masterrtl_structural_mix_8x5,Prob153_gshare_sample5_single_thought_operator,9515,8842,9,8,4,4,13,13,0.010398,exp/useful_bd_push/deepgate_cone_bridge_probe_20260626_UTC/cones/row_025_cone_01.aag
Prob153_gshare,masterrtl_structural_mix_8x5,Prob153_gshare_sample5_single_thought_operator,9515,8842,10,8,4,4,13,13,0.010265,exp/useful_bd_push/deepgate_cone_bridge_probe_20260626_UTC/cones/row_025_cone_02.aag
